2023-24 (March) Attendance (District)  - All Students,,,,,,,
Mansfield,01670000,  94.9,   5.5,  14.1,  11.6,   2.9,   6.4
Map Academy Charter School (District),35170000,  47.9,  50.4,  91.7,  93.3,  83.3,   0.0
Marblehead,01680000,  94.1,   6.4,  18.0,  15.4,   2.4,   2.0
Marblehead Community Charter Public (District),04640000,  94.6,   6.0,  20.9,  15.8,   0.0,   0.0
Marion,01690000,  94.0,   6.6,  24.8,  17.3,   2.0,   4.5
Marlborough,01700000,  92.0,   8.4,  30.8,  25.7,   7.0,  20.5
Marshfield,01710000,  95.2,   5.3,  13.4,   8.9,   1.5,   6.5
Martha's Vineyard,07000000,  90.8,  10.0,  31.2,  28.2,  10.5,   0.3
Martha's Vineyard Charter Public School (District),04660000,  89.9,  12.7,  52.7,  37.4,  10.4,  24.2
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,  93.4,   7.4,  27.0,  16.4,   2.2,   0.0
Masconomet,07050000,  94.0,   6.7,  19.5,  13.9,   3.2,   2.8
Mashpee,01720000,  93.6,   7.1,  24.8,  18.7,   3.3,   0.7
Match Charter Public School (District),04690000,  93.1,   7.4,  25.1,  21.5,   5.0,  20.1
Mattapoisett,01730000,  94.8,   5.7,  13.8,  10.1,   1.7,   9.8
Maynard,01740000,  93.7,   6.9,  21.7,  17.2,   4.0,   6.1
Medfield,01750000,  95.9,   4.7,  10.4,   6.4,   0.8,   4.5
Medford,01760000,  93.9,   6.7,  21.7,  16.6,   4.2,  15.0
Medway,01770000,  94.7,   5.9,  16.7,  11.3,   2.4,   7.1
Melrose,01780000,  94.6,   6.1,  17.2,  11.7,   2.4,  10.5
Mendon-Upton,07100000,  94.8,   5.7,  16.4,  10.6,   1.1,   0.0
Methuen,01810000,  92.1,   8.6,  30.0,  24.2,   7.0,  17.5
Middleborough,01820000,  93.6,   7.2,  23.2,  17.0,   4.0,  13.4
Middleton,01840000,  94.8,   5.9,  17.6,  10.2,   1.1,  15.1
Milford,01850000,  92.6,   7.8,  25.9,  21.5,   6.1,  18.4
Millbury,01860000,  94.9,   6.2,  19.5,  12.0,   2.2,  12.0
Millis,01870000,  94.6,   6.0,  17.5,  11.2,   1.4,   0.0
Milton,01890000,  95.3,   5.2,  11.5,   9.1,   1.9,   0.1
Minuteman Regional Vocational Technical,08300000,  95.0,   5.7,  16.4,  10.4,   1.8,   5.3
Mohawk Trail,07170000,  93.2,   7.7,  27.1,  20.2,   4.4,  11.0
Monomoy Regional School District,07120000,  94.0,   6.5,  21.2,  17.1,   3.0,  14.6
Monson,01910000,  92.9,   7.8,  24.6,  17.3,   4.6,   9.7
Montachusett Regional Vocational Technical,08320000,  95.5,   5.1,  13.8,   9.0,   1.9,   0.0
Mount Greylock,07150000,  93.9,   6.8,  21.8,  15.9,   3.6,   0.2
Mystic Valley Regional Charter (District),04700000,  96.2,   4.9,  12.9,   5.2,   0.4,   0.8
Nahant,01960000,  93.8,   6.8,  25.0,  17.9,   0.6,   3.2
Nantucket,01970000,  92.0,   8.3,  34.3,  29.5,   4.7,  13.2
Narragansett,07200000,  94.4,   6.2,  18.9,  13.8,   2.6,  10.3
Nashoba,07250000,  95.2,   5.3,  15.0,   9.3,   1.4,   0.7
Nashoba Valley Regional Vocational Technical,08520000,  95.8,   4.7,   8.5,   4.5,   0.8,   3.4
Natick,01980000,  94.8,   5.8,  16.0,  10.8,   2.1,   0.0
Nauset,06600000,  92.7,   7.7,  27.6,  24.3,   4.9,  21.2
Needham,01990000,  94.9,   5.8,  14.9,  10.6,   2.7,   0.0
Neighborhood House Charter (District),04440000,  88.8,  11.8,  41.9,  37.9,  15.1,  31.3
New Bedford,02010000,  90.9,   9.8,  36.6,  30.4,  10.4,  28.5
New Heights Charter School of Brockton (District),35130000,  93.0,   7.7,  29.1,  24.9,   4.5,  20.5
New Salem-Wendell,07280000,  93.4,   7.2,  23.6,  19.3,   3.6,   0.0
Newburyport,02040000,  94.9,   5.5,  15.3,  12.4,   1.7,   0.0
Newton,02070000,  93.9,   6.3,  19.9,  16.3,   2.6,   3.1
Norfolk,02080000,  95.1,   5.4,  14.2,   8.7,   1.2,   1.5
Norfolk County Agricultural,09150000,  93.6,   7.2,  22.7,  16.0,   3.4,   0.0
North Adams,02090000,  91.3,   9.5,  34.1,  28.2,  10.3,   5.7
North Andover,02110000,  94.8,   5.5,  15.4,  13.1,   2.7,   0.0
North Attleborough,02120000,  93.6,   7.1,  23.9,  17.3,   4.2,   6.0
North Brookfield,02150000,  92.3,   8.6,  32.9,  25.8,   6.9,  28.7
North Middlesex,07350000,  93.6,   7.0,  21.9,  15.9,   3.2,  13.6
North Reading,02170000,  95.4,   5.0,  11.6,   8.4,   1.3,   2.0
Northampton,02100000,  93.6,   6.8,  22.3,  18.6,   4.1,  14.7
Northampton-Smith Vocational Agricultural,04060000,  94.9,   5.6,  14.1,  11.8,   1.9,   5.4
Northboro-Southboro,07300000,  93.8,   7.0,  21.3,  16.7,   4.2,   0.0
Northborough,02130000,  94.7,   6.0,  18.5,  11.1,   1.5,   0.0
Northbridge,02140000,  93.3,   7.6,  27.3,  20.8,   4.6,  19.2
Northeast Metropolitan Regional Vocational Technical,08530000,  95.2,   5.5,  15.7,  11.0,   1.9,   7.1
Northern Berkshire Regional Vocational Technical,08510000,  92.1,   9.0,  31.7,  24.8,   6.5,  30.2
Norton,02180000,  93.7,   5.8,  18.3,  15.5,   3.2,   8.8
Norwell,02190000,  95.0,   5.4,  13.6,   8.0,   1.0,   8.4
Norwood,02200000,  92.6,   7.8,  26.3,  23.9,   7.5,  20.2
Oak Bluffs,02210000,  93.4,   6.9,  30.0,  24.5,   1.4,   2.5
Old Colony Regional Vocational Technical,08550000,  95.5,   5.0,  14.2,   9.1,   2.2,   0.7
Old Rochester,07400000,  93.4,   7.4,  26.3,  18.8,   4.5,   7.5
Old Sturbridge Academy Charter Public School (District),35150000,  94.1,   6.8,  18.5,  14.0,   2.2,   7.8
Orange,02230000,  94.4,   5.8,  16.9,  14.6,   4.6,   0.0
Orleans,02240000,  93.8,   6.5,  23.3,  17.1,   1.4,  21.2
Oxford,02260000,  93.0,   7.6,  26.4,  20.2,   5.8,   2.0
Palmer,02270000,  93.4,   7.2,  22.2,  19.5,   5.2,  15.7
Pathfinder Regional Vocational Technical,08600000,  94.7,   6.0,  16.2,  10.4,   3.1,   5.0
Peabody,02290000,  93.0,   7.5,  25.0,  22.3,   5.3,  23.9
Pelham,02300000,  94.6,   6.3,  14.6,  12.3,   3.8,   6.2
Pembroke,02310000,  94.8,   5.8,  16.0,  10.0,   1.5,   0.0
Pentucket,07450000,  94.1,   6.6,  20.1,  12.9,   2.2,   3.3
Petersham,02340000,  92.0,   8.7,  33.3,  25.5,   5.7,   0.0
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,  54.0,  46.8,  91.3,  89.0,  80.4,   0.0
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,  60.8,  38.1,  84.9,  85.7,  77.3,   0.0
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,  48.6,  47.2,  89.4,  95.2,  87.8,   0.0
Pioneer Charter School of Science (District),04940000,  95.9,   5.2,  15.8,   6.6,   0.3,   0.0
Pioneer Charter School of Science II (District),35060000,  95.6,   5.8,  19.3,   9.1,   1.4,   0.0
Pioneer Valley,07500000,  94.1,   6.4,  21.6,  15.5,   2.1,   4.5
Pioneer Valley Chinese Immersion Charter (District),04970000,  95.5,   5.0,  14.7,   9.2,   1.3,   4.5
Pioneer Valley Performing Arts Charter Public (District),04790000,  90.4,  10.2,  40.8,  37.4,   8.9,   0.0
Pittsfield,02360000,  89.1,  11.8,  42.9,  37.0,  14.3,   4.8
Plainville,02380000,  94.0,   6.6,  20.9,  14.2,   2.2,   3.0
Plymouth,02390000,  93.7,   7.0,  22.5,  16.6,   3.9,  12.7
Plympton,02400000,  94.9,   5.7,  16.7,  10.5,   0.8,  14.3
Prospect Hill Academy Charter (District),04870000,  94.4,   6.0,  19.2,  15.9,   3.8,   0.0
Provincetown,02420000,  91.2,   9.0,  34.0,  34.0,   8.2,  31.3
Quabbin,07530000,  93.3,   7.3,  24.8,  17.4,   4.1,  15.3
Quaboag Regional,07780000,  92.8,   7.9,  28.2,  22.5,   5.4,   8.7
Quincy,02430000,  93.9,   6.6,  22.0,  19.6,   4.6,  16.4
Ralph C Mahar,07550000,  92.0,   8.8,  27.2,  22.1,   9.2,   0.0
Randolph,02440000,  91.0,   9.6,  30.1,  25.9,  10.8,   0.0
Reading,02460000,  95.6,   4.9,  12.9,   8.6,   1.0,   0.0
Revere,02480000,  91.1,   9.6,  34.4,  29.3,   9.4,   0.0
Richmond,02490000,  94.7,   6.1,  22.6,  11.3,   1.3,   0.0
Rising Tide Charter Public (District),04830000,  94.0,   6.5,  19.6,  14.8,   2.4,   7.1
River Valley Charter (District),04820000,  92.9,   7.9,  28.9,  19.6,   2.1,  22.3
Rochester,02500000,  94.5,   6.1,  17.8,  12.4,   1.0,   4.2
Rockland,02510000,  93.1,   7.6,  25.2,  19.1,   5.4,  17.9
Rockport,02520000,  93.5,   7.2,  23.2,  17.4,   4.3,  16.6
Rowe,02530000,  91.4,   9.5,  45.9,  41.0,   3.3,   0.0
Roxbury Preparatory Charter (District),04840000,  90.4,  10.8,  41.1,  37.2,  11.1,   0.0
Salem,02580000,  92.2,   8.5,  28.5,  22.7,   7.1,  14.1
Salem Academy Charter (District),04850000,  92.8,   8.0,  28.7,  21.5,   5.9,  10.0
Sandwich,02610000,  93.4,   7.2,  24.5,  18.0,   3.0,   0.0
Saugus,02620000,  91.3,   9.5,  35.8,  29.2,   8.5,  24.7
Savoy,02630000,  93.1,   7.5,  37.5,  29.2,   2.1,   8.3
Scituate,02640000,  94.9,   5.7,  14.5,   9.5,   1.5,   3.8
Seekonk,02650000,  94.8,   5.8,  16.9,  12.3,   2.4,   4.5
Sharon,02660000,  94.9,   5.6,  15.5,  10.3,   2.0,   0.4
Shawsheen Valley Regional Vocational Technical,08710000,  94.9,   5.4,  15.5,  13.3,   3.5,   5.0
Sherborn,02690000,  94.8,   5.9,  16.7,  12.8,   0.7,  16.7
Shrewsbury,02710000,  94.6,   5.9,  17.8,  13.1,   2.8,   0.6
Shutesbury,02720000,  93.8,   6.8,  25.0,  14.3,   0.9,   0.0
Silver Lake,07600000,  93.4,   7.4,  24.8,  18.2,   4.3,  12.0
Sizer School: A North Central Charter Essential (District),04740000,  88.8,  12.1,  47.0,  41.1,  13.7,  17.1
Somerset,02730000,  94.4,   6.3,  19.6,  13.8,   2.2,   9.8
Somerset Berkley Regional School District,07630000,  92.5,   8.4,  25.1,  20.9,   7.3,  10.0
Somerville,02740000,  92.5,   8.3,  29.5,  23.3,   6.4,  18.8
South Hadley,02780000,  92.2,   8.7,  30.0,  23.1,   7.5,   0.2
South Middlesex Regional Vocational Technical,08290000,  93.9,   6.8,  22.3,  16.2,   3.8,   0.0
South Shore Charter Public (District),04880000,  93.9,   6.7,  21.4,  16.9,   4.4,  16.4
South Shore Regional Vocational Technical,08730000,  94.5,   6.3,  19.2,  13.5,   2.8,   0.0
Southampton,02750000,  95.0,   5.6,  15.8,   8.4,   0.6,   0.0
Southborough,02760000,  93.9,   6.9,  23.0,  15.8,   3.5,   0.0
Southbridge,02770000,  90.6,  10.2,  37.5,  31.4,  10.4,  26.5
Southeastern Regional Vocational Technical,08720000,  95.2,   5.2,  14.0,  11.5,   2.1,   3.4
Southern Berkshire,07650000,  92.2,   8.6,  33.3,  24.2,   6.0,   8.6
Southern Worcester County Regional Vocational School District,08760000,  95.2,   5.3,  14.7,   9.0,   1.7,   1.8
Southwick-Tolland-Granville Regional School District,07660000,  94.7,   5.8,  16.6,  11.1,   1.8,   8.2
Spencer-E Brookfield,07670000,  92.8,   7.9,  28.4,  21.6,   5.0,   0.7
Springfield,02810000,  91.1,   9.6,  37.6,  31.2,   9.3,  21.2
Springfield International Charter (District),04410000,  91.8,   8.8,  32.6,  27.2,   6.1,  21.4
Springfield Preparatory Charter School (District),35100000,  94.5,   6.0,  17.6,  12.0,   1.8,   6.9
Stoneham,02840000,  93.9,   6.8,  21.7,  15.4,   3.4,   5.6
Stoughton,02850000,  94.1,   6.3,  19.2,  17.6,   4.3,   0.0
Sturbridge,02870000,  94.6,   6.0,  18.9,  12.4,   0.8,   0.0
Sturgis Charter Public (District),04890000,  93.3,   7.6,  27.3,  18.8,   4.2,   8.5
Sudbury,02880000,  95.6,   5.0,  11.7,   7.3,   0.9,   1.5
Sunderland,02890000,  93.7,   7.0,  25.4,  17.5,   1.6,   0.0
Sutton,02900000,  94.2,   6.3,  19.2,  13.7,   2.4,   1.4
Swampscott,02910000,  93.6,   7.1,  24.5,  18.1,   3.2,  16.2
Swansea,02920000,  93.5,   7.3,  23.7,  17.3,   4.3,  12.6
TEC Connections Academy Commonwealth Virtual School District,39020000,  87.5,  11.8,  30.6,  32.7,  25.1,  19.6
Tantasqua,07700000,  94.1,   6.5,  21.4,  15.7,   4.4,   0.0
Taunton,02930000,  92.5,   8.1,  28.1,  21.8,   6.2,  21.2
Tewksbury,02950000,  94.6,   6.0,  17.7,  12.8,   2.8,   8.8
Tisbury,02960000,  92.3,   8.0,  33.2,  30.1,   4.8,   1.7
Topsfield,02980000,  95.3,   5.4,  13.3,   7.8,   0.8,  13.3
Tri-County Regional Vocational Technical,08780000,  94.5,   6.1,  20.5,  13.0,   2.5,   6.8
Triton,07730000,  93.6,   6.9,  23.0,  18.8,   4.2,  14.2
Truro,03000000,  92.8,   7.7,  32.3,  26.0,   2.1,  32.3
Tyngsborough,03010000,  94.4,   6.3,  20.7,  13.9,   2.6,   0.0
UP Academy Charter School of Boston (District),04800000,  89.3,  11.5,  42.9,  40.0,  15.9,  35.3
UP Academy Charter School of Dorchester (District),35050000,  92.8,   7.8,  27.6,  24.1,   7.3,  18.6
Up-Island Regional,07740000,  92.8,   7.6,  30.6,  26.7,   2.2,   0.0
Upper Cape Cod Regional Vocational Technical,08790000,  92.9,   8.0,  28.9,  21.8,   6.1,   9.3
Uxbridge,03040000,  93.7,   6.8,  23.8,  17.9,   3.2,   6.7
Veritas Preparatory Charter School (District),04980000,  93.2,   7.6,  28.1,  20.0,   4.2,  39.1
Wachusett,07750000,  94.8,   5.7,  15.8,  10.6,   1.9,   0.0
Wakefield,03050000,  95.2,   5.3,  14.8,  12.2,   2.4,   0.0
Wales,03060000,  93.7,   7.1,  26.6,  17.0,   1.1,   0.0
Walpole,03070000,  95.0,   5.6,  15.0,   9.3,   1.5,   8.1
Waltham,03080000,  93.1,   7.4,  23.7,  18.9,   6.0,  20.3
Ware,03090000,  92.4,   8.4,  29.5,  25.1,   7.3,  14.0
Wareham,03100000,  92.7,   7.8,  28.5,  23.0,   5.6,  15.6
Warwick,03120000,  92.7,   8.2,  29.6,  22.2,   0.0,   0.0
Watertown,03140000,  93.6,   7.0,  20.4,  15.8,   5.0,   8.3
Wayland,03150000,  95.4,   5.0,  13.9,   9.8,   1.6,   0.6
Webster,03160000,  90.7,  10.0,  39.0,  32.7,   9.3,   0.0
Wellesley,03170000,  95.4,   5.2,  13.3,   8.9,   1.5,   0.1
Wellfleet,03180000,  93.7,   6.7,  16.5,  15.4,   0.0,  16.5
West Boylston,03220000,  94.4,   6.3,  19.7,  14.3,   2.4,  15.9
West Bridgewater,03230000,  94.3,   6.4,  20.1,  15.1,   2.5,  11.6
West Springfield,03320000,  93.3,   7.1,  24.7,  20.8,   5.2,   1.0
Westborough,03210000,  94.4,   6.2,  19.9,  14.6,   2.9,   0.5
Westfield,03250000,  92.7,   7.9,  26.6,  20.7,   5.9,   0.0
Westford,03260000,  93.9,   6.8,  22.8,  14.9,   2.0,   1.7
Westhampton,03270000,  93.7,   7.0,  21.5,  12.1,   2.8,   0.0
Weston,03300000,  96.6,   3.7,   8.0,   6.1,   0.7,   0.0
Westport,03310000,  94.3,   6.3,  19.0,  12.8,   2.4,   7.5
Westwood,03350000,  95.7,   4.9,  11.4,   7.6,   1.5,   3.3
Weymouth,03360000,  93.1,   7.4,  23.5,  21.0,   5.4,  15.6
Whately,03370000,  94.0,   6.8,  20.5,  15.7,   1.6,   0.0
Whitman-Hanson,07800000,  94.7,   5.9,  16.9,  12.3,   2.7,   7.8
Whittier Regional Vocational Technical,08850000,  94.7,   5.9,  15.1,   9.5,   2.4,   5.5
Williamsburg,03400000,  94.5,   6.1,  22.0,  14.6,   0.8,   0.0
Wilmington,03420000,  94.8,   5.7,  15.3,  11.7,   2.4,   5.9
Winchendon,03430000,  89.2,  11.4,  40.0,  35.5,  13.3,   5.1
Winchester,03440000,  95.2,   5.2,  13.5,  10.5,   1.0,   3.9
Winthrop,03460000,  93.8,   6.9,  23.2,  16.7,   3.7,   1.0
Woburn,03470000,  93.3,   7.1,  23.7,  21.3,   4.6,   0.0
Worcester,03480000,  91.8,   8.8,  31.2,  26.5,   8.4,  26.7
Worcester Cultural Academy Charter Public School (District),35190000,  94.8,   6.5,  23.4,  13.5,   1.4,  18.4
Worthington,03490000,  95.0,   5.4,  15.8,  13.2,   1.3,   0.0
Wrentham,03500000,  94.4,   6.0,  18.7,  11.1,   1.4,   0.0
State Totals,00000000,  93.1,   7.6,  24.8,  19.6,   5.4,  11.1
