2023-24 Teacher Data - All Teachers,,,,,,,
Manchester Essex Regional,06980000,     124.8, 100.0,   9.6 to 1,  88.7,  93.9,
Mansfield,01670000,     296.7, 100.0,  11.4 to 1,  92.6,  97.9,
Map Academy Charter School (District),35170000,      25.1,  96.0,  11.0 to 1,  74.1,  63.7,
Marblehead,01680000,     245.8,  99.6,  10.6 to 1,  85.0,  95.5,
Marblehead Community Charter Public (District),04640000,      18.0,  88.9,   9.7 to 1,  50.0,  83.3,
Marion,01690000,      32.8, 100.0,  11.9 to 1,  93.9,  97.0,
Marlborough,01700000,     410.3, 100.0,  11.5 to 1,  80.6,  94.4,
Marshfield,01710000,     326.0, 100.0,  11.3 to 1,  89.9,  95.9,
Martha's Vineyard,07000000,      80.4,  85.1,   8.5 to 1,  72.5,  85.6,
Martha's Vineyard Charter Public School (District),04660000,      21.8, 100.0,   8.0 to 1,  46.0,  78.6,
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,      31.0,  80.6,  11.5 to 1,  45.2,  83.9,
Masconomet,07050000,     131.1,  99.5,  11.7 to 1,  91.8,  96.2,
Mashpee,01720000,     135.1,  99.3,  10.6 to 1,  82.2,  94.1,
Match Charter Public School (District),04690000,     121.6,  68.8,   9.7 to 1,  38.2,  84.6,
Mattapoisett,01730000,      36.8, 100.0,  10.9 to 1,  97.3, 100.0,
Maynard,01740000,     115.8,  98.3,  10.4 to 1,  83.8,  92.7,
Medfield,01750000,     208.9, 100.0,  12.0 to 1,  92.9,  96.5,
Medford,01760000,     401.4,  98.8,  10.3 to 1,  79.6,  93.8,
Medway,01770000,     159.9,  98.2,  13.5 to 1,  83.4,  96.9,
Melrose,01780000,     283.7,  99.2,  13.7 to 1,  82.0,  93.4,
Mendon-Upton,07100000,     161.1,  93.2,  12.9 to 1,  83.1,  96.9,
Methuen,01810000,     541.3,  97.6,  12.1 to 1,  80.1,  94.4,
Middleborough,01820000,     213.6, 100.0,  14.0 to 1,  86.3,  95.4,
Middleton,01840000,      69.3, 100.0,  10.4 to 1,  82.7,  98.6,
Milford,01850000,     395.2,  99.2,  11.2 to 1,  83.9,  96.0,
Millbury,01860000,     130.8, 100.0,  12.6 to 1,  89.4,  96.3,
Millis,01870000,     102.6,  99.0,  11.6 to 1,  92.4,  96.3,
Milton,01890000,     340.8,  99.4,  12.7 to 1,  87.4,  96.6,
Minuteman Regional Vocational Technical,08300000,      82.4,  98.8,   8.3 to 1,  85.4,  90.3,
Mohawk Trail,07170000,      69.9,  95.4,  11.5 to 1,  82.8,  94.3,
Monomoy Regional School District,07120000,     170.8,  98.8,  10.2 to 1,  84.8,  94.4,
Monson,01910000,      88.0,  98.9,   9.2 to 1,  68.8,  90.9,
Montachusett Regional Vocational Technical,08320000,     118.9, 100.0,  12.0 to 1,  88.2,  90.7,
Mount Greylock,07150000,     110.7,  99.1,  11.0 to 1,  87.4,  92.1,
Mystic Valley Regional Charter (District),04700000,     101.4,  53.5,  16.3 to 1,  40.9,  90.1,
Nahant,01960000,      10.9, 100.0,  13.6 to 1,  53.4,  83.2,
Nantucket,01970000,     159.7,  93.9,  10.5 to 1,  63.4,  83.9,
Narragansett,07200000,      98.3, 100.0,  14.8 to 1,  82.5,  93.9,
Nashoba,07250000,     247.4,  99.6,  12.3 to 1,  90.3,  97.7,
Nashoba Valley Regional Vocational Technical,08520000,      67.4,  97.8,  11.5 to 1,  83.2,  71.9,
Natick,01980000,     457.6,  99.3,  11.6 to 1,  88.4,  97.0,
Nauset,06600000,     126.1, 100.0,   9.8 to 1,  94.0,  94.9,
Needham,01990000,     449.8,  99.3,  12.3 to 1,  84.7,  96.6,
Neighborhood House Charter (District),04440000,      78.1,  52.2,  11.0 to 1,  39.1,  88.5,
New Bedford,02010000,"   1,034.1",  96.0,  12.1 to 1,  70.7,  86.3,
New Heights Charter School of Brockton (District),35130000,      44.1,  87.6,  16.6 to 1,  65.0,  72.8,
New Salem-Wendell,07280000,      15.0, 100.0,   9.1 to 1,  93.3, 100.0,
Newburyport,02040000,     214.9, 100.0,  10.1 to 1,  84.1,  93.5,
Newton,02070000,"   1,058.8",  97.1,  11.1 to 1,  87.0,  97.6,
Norfolk,02080000,      86.8, 100.0,  12.0 to 1,  91.4,  97.9,
Norfolk County Agricultural,09150000,      58.2,  98.3,  10.1 to 1,  87.6,  88.0,
North Adams,02090000,     125.4,  98.4,   9.6 to 1,  74.0,  89.0,
North Andover,02110000,     336.4, 100.0,  13.3 to 1,  90.5,  96.2,
North Attleborough,02120000,     301.7,  99.3,  13.0 to 1,  84.1,  94.1,
North Brookfield,02150000,      39.4, 100.0,  10.3 to 1,  75.1,  97.5,
North Middlesex,07350000,     239.5,  99.2,  12.5 to 1,  85.2,  95.6,
North Reading,02170000,     207.7, 100.0,  11.2 to 1,  94.8,  96.6,
Northampton,02100000,     239.8,  99.6,  10.4 to 1,  84.8,  96.2,
Northampton-Smith Vocational Agricultural,04060000,      64.0, 100.0,   8.9 to 1,  76.6,  92.2,
Northboro-Southboro,07300000,     109.0, 100.0,  10.9 to 1,  92.9,  99.0,
Northborough,02130000,     134.2,  99.3,  12.2 to 1,  91.7,  99.3,
Northbridge,02140000,     148.5,  98.9,  12.6 to 1,  84.0,  95.6,
Northeast Metropolitan Regional Vocational Technical,08530000,     120.3,  93.0,  11.2 to 1,  79.3,  88.3,
Northern Berkshire Regional Vocational Technical,08510000,      48.4,  93.8,  10.7 to 1,  85.8,  91.7,
Norton,02180000,     190.0, 100.0,  12.7 to 1,  88.3,  97.1,
Norwell,02190000,     168.3, 100.0,  12.9 to 1,  92.9,  97.6,
Norwood,02200000,     331.0,  99.4,  10.7 to 1,  84.0,  96.3,
Oak Bluffs,02210000,      52.8,  96.4,   7.9 to 1,  85.9,  93.8,
Old Colony Regional Vocational Technical,08550000,      62.0,  98.4,   8.9 to 1,  85.5,  88.7,
Old Rochester,07400000,      89.6,  98.9,  11.6 to 1,  95.5, 100.0,
Old Sturbridge Academy Charter Public School (District),35150000,      26.3,  96.9,  13.2 to 1,  51.3,  88.6,
Orange,02230000,      42.0,  88.1,  12.5 to 1,  65.9,  92.9,
Orleans,02240000,      21.3, 100.0,   6.7 to 1, 100.0, 100.0,
Oxford,02260000,     125.4,  97.5,  11.9 to 1,  83.9,  93.6,
Palmer,02270000,     102.6, 100.0,  10.6 to 1,  83.4,  97.1,
Pathfinder Regional Vocational Technical,08600000,      72.6, 100.0,   8.9 to 1,  78.4,  86.2,
Peabody,02290000,     479.8,  98.7,  12.2 to 1,  86.3,  94.4,
Pelham,02300000,      12.8, 100.0,  10.1 to 1,  92.2, 100.0,
Pembroke,02310000,     186.9,  99.5,  12.9 to 1,  95.7,  97.8,
Pentucket,07450000,     184.4,  98.1,  12.1 to 1,  79.2,  94.0,
Petersham,02340000,      11.4,  73.8,  11.6 to 1,  65.0, 100.0,
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,      18.2,  66.4,  10.7 to 1,  33.0,  78.0,
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,      12.4,  76.9,   9.2 to 1,  23.5,  61.6,
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,      15.1,  40.5,  10.5 to 1,  21.2, 100.0,
Pioneer Charter School of Science (District),04940000,      71.2,  77.9,  10.9 to 1,  46.6,  86.0,
Pioneer Charter School of Science II (District),35060000,      49.0,  77.7,  11.6 to 1,  47.1,  77.6,
Pioneer Valley,07500000,      58.1, 100.0,  10.6 to 1,  71.3,  96.2,
Pioneer Valley Chinese Immersion Charter (District),04970000,      65.1,  79.3,   8.5 to 1,  68.8,  80.1,
Pioneer Valley Performing Arts Charter Public (District),04790000,      43.3,  69.9,   9.2 to 1,  58.3,  69.9,
Pittsfield,02360000,     513.7,  95.3,   9.5 to 1,  74.0,  90.4,
Plainville,02380000,      51.5, 100.0,  12.3 to 1,  89.5, 100.0,
Plymouth,02390000,     630.4,  99.9,  11.2 to 1,  87.3,  94.8,
Plympton,02400000,      18.7, 100.0,  13.5 to 1,  88.2,  93.6,
Prospect Hill Academy Charter (District),04870000,      98.2,  76.6,   9.3 to 1,  49.8,  88.8,
Provincetown,02420000,      18.9,  97.4,   7.2 to 1,  68.3, 100.0,
Quabbin,07530000,     149.4, 100.0,  14.5 to 1,  82.3,  93.3,
Quaboag Regional,07780000,      89.2,  95.1,  12.5 to 1,  84.6,  94.3,
Quincy,02430000,     758.5,  99.7,  12.8 to 1,  81.0,  94.6,
Ralph C Mahar,07550000,      59.8,  91.6,   8.4 to 1,  83.9,  89.1,
Randolph,02440000,     243.1,  97.9,  11.0 to 1,  77.2,  92.6,
Reading,02460000,     297.8,  99.0,  12.9 to 1,  85.0,  96.7,
Revere,02480000,     646.2,  97.1,  11.4 to 1,  70.5,  91.2,
Richmond,02490000,      19.4, 100.0,   8.2 to 1, 100.0, 100.0,
Rising Tide Charter Public (District),04830000,      58.1,  77.5,  10.7 to 1,  54.7,  79.3,
River Valley Charter (District),04820000,      25.2,  77.0,  11.4 to 1,  67.5,  80.1,
Rochester,02500000,      41.3, 100.0,  12.0 to 1,  95.2,  95.2,
Rockland,02510000,     175.3,  98.0,  12.2 to 1,  84.0,  94.0,
Rockport,02520000,      82.1,  99.8,   8.2 to 1,  86.8,  95.6,
Rowe,02530000,       9.1,  89.0,   6.7 to 1,  78.0, 100.0,
Roxbury Preparatory Charter (District),04840000,      48.2,  79.8,  23.6 to 1,  39.1,  67.2,
Salem,02580000,     357.9,  95.4,  10.6 to 1,  66.8,  92.0,
Salem Academy Charter (District),04850000,      39.7,  83.5,  12.3 to 1,  54.7,  80.9,
Sandwich,02610000,     193.0,  98.9,  11.0 to 1,  83.8,  91.8,
Saugus,02620000,     182.1, 100.0,  14.3 to 1,  82.0,  97.0,
Savoy,02630000,       7.1, 100.0,   6.6 to 1, 100.0,  85.9,
Scituate,02640000,     236.2, 100.0,  11.6 to 1,  92.5,  96.6,
Seekonk,02650000,     177.3,  99.9,  11.6 to 1,  91.9,  97.2,
Sharon,02660000,     273.8,  99.6,  12.6 to 1,  87.6,  94.2,
Shawsheen Valley Regional Vocational Technical,08710000,     131.9,  97.0,   9.9 to 1,  90.1,  88.6,
Sherborn,02690000,      34.3, 100.0,  11.7 to 1,  89.8,  97.1,
Shrewsbury,02710000,     437.3,  98.5,  13.5 to 1,  87.4,  96.6,
Shutesbury,02720000,      17.7, 100.0,   6.3 to 1,  94.4,  94.4,
Silver Lake,07600000,     128.1, 100.0,  12.4 to 1,  91.4,  95.3,
Sizer School: A North Central Charter Essential (District),04740000,      31.1,  85.3,   9.7 to 1,  62.1,  77.5,
Somerset,02730000,     132.4, 100.0,  12.1 to 1,  91.6,  96.9,
Somerset Berkley Regional School District,07630000,      77.7,  98.7,  12.4 to 1,  94.8,  96.1,
Somerville,02740000,     440.7,  99.1,  11.2 to 1,  79.2,  94.9,
South Hadley,02780000,     151.9,  98.0,  10.8 to 1,  84.9,  96.9,
South Middlesex Regional Vocational Technical,08290000,      91.3,  96.7,   9.5 to 1,  81.9,  83.1,
South Shore Charter Public (District),04880000,      46.4,  85.4,  22.7 to 1,  79.2,  84.2,
South Shore Regional Vocational Technical,08730000,      64.3,  98.4,  10.4 to 1,  77.2,  87.3,
Southampton,02750000,      36.5,  98.4,  12.9 to 1,  92.9, 100.0,
Southborough,02760000,     109.8,  99.5,  11.9 to 1,  95.0,  93.4,
Southbridge,02770000,     171.2,  92.9,  11.0 to 1,  46.2,  87.7,
Southeastern Regional Vocational Technical,08720000,     129.0,  98.4,  12.4 to 1,  78.3,  86.0,
Southern Berkshire,07650000,      76.5,  98.4,   8.0 to 1,  83.5,  92.2,
Southern Worcester County Regional Vocational School District,08760000,     115.0, 100.0,  10.4 to 1,  85.4,  90.4,
Southwick-Tolland-Granville Regional School District,07660000,     119.0, 100.0,  11.0 to 1,  90.1,  95.0,
Spencer-E Brookfield,07670000,     117.5, 100.0,  12.1 to 1,  78.1,  90.0,
Springfield,02810000,"   2,171.5",  94.8,  10.9 to 1,  73.2,  88.1,
Springfield International Charter (District),04410000,      79.1,  79.6,  18.7 to 1,  57.5,  75.9,
Springfield Preparatory Charter School (District),35100000,      42.3,  63.7,  11.5 to 1,  59.8,  97.3,
Stoneham,02840000,     212.1, 100.0,  10.8 to 1,  81.8,  92.7,
Stoughton,02850000,     321.9,  99.7,  11.5 to 1,  81.7,  95.1,
Sturbridge,02870000,      72.0, 100.0,  12.5 to 1,  90.3,  95.8,
Sturgis Charter Public (District),04890000,      88.1,  67.0,   9.4 to 1,  79.3,  85.7,
Sudbury,02880000,     229.0,  95.6,  11.1 to 1,  87.3,  98.1,
Sunderland,02890000,      23.9, 100.0,   7.7 to 1,  77.4, 100.0,
Sutton,02900000,      98.0, 100.0,  13.4 to 1,  94.9,  96.9,
Swampscott,02910000,     188.1,  98.9,  11.0 to 1,  86.9,  94.1,
Swansea,02920000,     150.3, 100.0,  13.6 to 1,  91.4,  95.5,
TEC Connections Academy Commonwealth Virtual School District,39020000,     125.5, 100.0,  23.2 to 1,  82.4,  95.2,
Tantasqua,07700000,     149.4, 100.0,  11.8 to 1,  81.2,  92.9,
Taunton,02930000,     556.5,  99.8,  14.4 to 1,  82.5,  92.6,
Tewksbury,02950000,     254.1, 100.0,  12.6 to 1,  88.5,  96.9,
Tisbury,02960000,      39.8, 100.0,   6.8 to 1,  87.4,  94.5,
Topsfield,02980000,      54.7, 100.0,  11.2 to 1,  88.7, 100.0,
Tri-County Regional Vocational Technical,08780000,      85.9,  98.8,  11.2 to 1,  83.6,  93.0,
Triton,07730000,     211.2, 100.0,  10.2 to 1,  86.4,  92.8,
Truro,03000000,      16.1, 100.0,   5.7 to 1,  72.6, 100.0,
Tyngsborough,03010000,     126.5, 100.0,  12.2 to 1,  88.8,  98.4,
UP Academy Charter School of Boston (District),04800000,      32.0,  93.8,   5.2 to 1,  68.8,  62.5,
UP Academy Charter School of Dorchester (District),35050000,      55.5,  81.1,  10.4 to 1,  43.2,  73.0,
Up-Island Regional,07740000,      54.0,  99.3,   7.4 to 1,  81.0,  89.6,
Upper Cape Cod Regional Vocational Technical,08790000,      86.8,  89.6,   9.5 to 1,  76.4,  77.0,
Uxbridge,03040000,     135.4,  98.5,  12.1 to 1,  88.0,  94.8,
Veritas Preparatory Charter School (District),04980000,      64.4,  54.4,   9.6 to 1,  34.2,  93.8,
Wachusett,07750000,     467.7,  99.3,  14.3 to 1,  91.4,  96.8,
Wakefield,03050000,     287.2, 100.0,  11.7 to 1,  85.0,  96.5,
Wales,03060000,      10.8,  90.7,   8.6 to 1,  61.1,  88.9,
Walpole,03070000,     305.7,  99.7,  11.9 to 1,  84.0,  96.2,
Waltham,03080000,     552.3,  99.8,  10.3 to 1,  81.8,  92.6,
Ware,03090000,      89.5,  99.6,  12.6 to 1,  87.1,  91.1,
Wareham,03100000,     178.0,  99.4,  11.0 to 1,  80.1,  93.1,
Warwick,03120000,       5.2, 100.0,   5.2 to 1,  38.5, 100.0,
Watertown,03140000,     266.5,  96.8,  10.2 to 1,  81.4,  96.6,
Wayland,03150000,     240.6,  99.1,  11.4 to 1,  92.4,  97.6,
Webster,03160000,     145.7, 100.0,  11.7 to 1,  85.6,  94.5,
Wellesley,03170000,     391.7, 100.0,  10.5 to 1,  88.6,  96.7,
Wellfleet,03180000,      12.6, 100.0,   7.3 to 1,  76.1,  84.9,
West Boylston,03220000,      79.8, 100.0,  11.3 to 1,  81.5,  87.8,
West Bridgewater,03230000,     103.4, 100.0,  13.6 to 1,  84.3,  98.1,
West Springfield,03320000,     343.3,  99.7,  11.6 to 1,  91.5,  96.8,
Westborough,03210000,     333.9,  99.7,  11.6 to 1,  90.2,  96.3,
Westfield,03250000,     418.9,  98.1,  11.5 to 1,  86.4,  94.1,
Westford,03260000,     367.7,  98.0,  12.1 to 1,  89.9,  96.5,
Westhampton,03270000,      17.0, 100.0,   6.1 to 1, 100.0,  90.6,
Weston,03300000,     173.8,  99.3,  11.7 to 1,  89.0,  94.0,
Westport,03310000,     124.5, 100.0,  12.1 to 1,  87.3,  93.8,
Westwood,03350000,     238.0,  99.6,  12.1 to 1,  88.5,  95.0,
Weymouth,03360000,     458.5,  99.6,  12.3 to 1,  84.8,  95.2,
Whately,03370000,      15.7, 100.0,   8.0 to 1,  87.3, 100.0,
Whitman-Hanson,07800000,     254.7, 100.0,  13.7 to 1,  85.6,  95.4,
Whittier Regional Vocational Technical,08850000,     124.2,  97.6,  10.3 to 1,  87.2,  85.5,
Williamsburg,03400000,      17.1, 100.0,   7.2 to 1, 100.0,  92.7,
Wilmington,03420000,     262.2, 100.0,  10.5 to 1,  86.7,  97.3,
Winchendon,03430000,      90.7,  97.8,  13.4 to 1,  78.1,  91.2,
Winchester,03440000,     342.4, 100.0,  12.6 to 1,  88.3,  96.6,
Winthrop,03460000,     157.6,  97.3,  12.5 to 1,  70.8,  91.9,
Woburn,03470000,     383.3,  99.0,  11.5 to 1,  85.4,  96.6,
Worcester,03480000,"   2,042.9",  98.0,  11.9 to 1,  76.2,  90.4,
Worcester Cultural Academy Charter Public School (District),35190000,       8.4, 100.0,  16.1 to 1,  17.0, 100.0,
Worthington,03490000,       9.2, 100.0,   7.9 to 1,  69.6,  89.1,
Wrentham,03500000,      80.0, 100.0,  12.3 to 1,  87.0, 100.0,
State Totals,00000000,"  77,630.3",  97.1,  11.8 to 1,  80.8,  93.2,
