Town,Town Code,Local Public Schools,Academic Regional Schools,Vocational Technical Regional Schools,Collaboratives,Charter Schools,Out-of-District Public Schools,Home Schooled,In State Private and Parochial Schools,Out-of-state Private and Parochial Schools,Total,Total Public,% Public,End of School Year
Abington,10000,2053,0,102,30,49,47,29,123,0,2433,2281,93.8,2023
Acton,20000,0,4112,86,17,33,40,22,147,0,4457,4288,96.2,2023
Acushnet,30000,911,0,167,7,2,289,20,72,0,1468,1376,93.7,2023
Adams (non-op),40000,0,704,132,0,46,73,3,37,0,995,955,96.0,2023
Agawam,50000,3195,0,0,9,67,74,97,131,8,3581,3345,93.4,2023
Alford (non-op),60000,0,12,0,0,0,8,10,6,0,36,20,55.6,2023
Amesbury,70000,1684,0,127,14,98,51,42,15,8,2039,1974,96.8,2023
Amherst,80000,903,904,0,0,150,82,35,196,0,2270,2039,89.8,2023
Andover,90000,5423,0,59,7,14,14,36,966,0,6519,5517,84.60000000000001,2023
Aquinnah (non-op),1040000,0,51,0,0,7,0,1,1,1,61,58,95.10000000000001,2023
Arlington,100000,5907,0,224,21,25,9,36,663,0,6885,6186,89.9,2023
Ashburnham (non-op),110000,0,967,67,4,6,34,27,13,0,1118,1078,96.4,2023
Ashby (non-op),120000,0,374,37,4,3,11,44,25,3,501,429,85.60000000000001,2023
Ashfield (non-op),130000,0,98,13,0,7,21,17,6,0,162,139,85.8,2023
Ashland,140000,2792,0,59,12,2,25,35,132,2,3059,2890,94.5,2023
Athol (non-op),150000,0,1398,108,9,3,216,90,32,0,1856,1734,93.4,2023
Attleboro,160000,5787,0,16,20,266,109,133,377,31,6739,6198,92.0,2023
Auburn,170000,2431,0,110,6,4,37,20,83,2,2693,2588,96.10000000000001,2023
Avon,180000,535,0,50,1,13,9,4,51,0,663,608,91.7,2023
Ayer,190000,0,844,70,15,25,82,20,40,1,1097,1036,94.4,2023
Barnstable,200000,4665,0,183,27,331,93,66,590,0,5955,5299,89.0,2023
Barre (non-op),210000,0,669,38,4,5,23,40,13,0,792,739,93.3,2023
Becket (non-op),220000,0,123,14,0,2,64,11,14,0,228,203,89.0,2023
Bedford,230000,2506,0,37,10,1,4,24,63,1,2646,2558,96.7,2023
Belchertown,240000,1946,0,115,0,41,123,48,32,0,2305,2225,96.5,2023
Bellingham,250000,1912,0,109,23,172,101,54,54,48,2473,2317,93.7,2023
Belmont,260000,4336,0,26,52,6,18,18,545,3,5004,4438,88.7,2023
Berkley,270000,797,234,85,4,0,36,23,23,1,1203,1156,96.10000000000001,2023
Berlin,280000,0,349,45,3,14,19,5,24,0,459,430,93.7,2023
Bernardston (non-op),290000,0,6,24,0,9,6,3,13,8,69,45,65.2,2023
Beverly,300000,4262,0,170,18,4,52,84,553,32,5175,4506,87.10000000000001,2023
Billerica,310000,4739,0,463,49,64,37,81,3,0,5436,5352,98.5,2023
Blackstone (non-op),320000,0,8,81,0,46,87,19,1,0,242,222,91.7,2023
Blandford (non-op),330000,0,69,13,0,0,11,6,12,0,111,93,83.8,2023
Bolton (non-op),340000,0,981,33,0,12,26,24,39,0,1115,1052,94.4,2023
Boston,350000,45538,0,0,32,10125,2789,273,6797,12,65566,58484,89.2,2023
Bourne,360000,1509,0,187,7,113,156,50,30,0,2052,1972,96.10000000000001,2023
Boxborough,370000,0,847,6,0,9,8,14,19,0,903,870,96.4,2023
Boxford,380000,688,573,22,10,1,24,28,201,3,1550,1318,85.0,2023
Boylston,390000,0,591,22,3,8,14,15,52,0,705,638,90.5,2023
Braintree,400000,5104,0,154,36,19,47,28,536,0,5924,5360,90.5,2023
Brewster,410000,395,469,57,3,62,47,25,29,0,1087,1033,95.0,2023
Bridgewater (non-op),420000,0,3274,148,3,12,77,70,68,2,3654,3514,96.2,2023
Brimfield,430000,257,164,63,0,5,16,29,8,0,542,505,93.2,2023
Brockton,440000,13650,0,945,22,1521,373,137,545,0,17193,16511,96.0,2023
Brookfield,450000,201,143,64,2,8,9,16,5,0,448,427,95.3,2023
Brookline,460000,6309,0,0,4,1,9,42,1449,28,7842,6323,80.60000000000001,2023
Buckland (non-op),470000,0,160,18,0,5,14,13,14,0,224,197,88.0,2023
Burlington,480000,3274,0,133,19,3,29,32,237,2,3729,3458,92.7,2023
Cambridge,490000,6160,0,1,15,484,19,65,1483,1,8228,6679,81.2,2023
Canton,500000,3122,0,89,28,8,0,20,284,2,3553,3247,91.4,2023
Carlisle,510000,587,295,2,1,0,0,22,92,1,1000,885,88.5,2023
Carver,520000,1473,0,95,9,63,11,41,42,12,1746,1651,94.60000000000001,2023
Charlemont (non-op),530000,0,72,8,0,4,39,5,6,0,134,123,91.8,2023
Charlton (non-op),540000,0,1690,211,6,14,33,49,72,10,2085,1954,93.7,2023
Chatham,550000,0,353,13,3,10,13,4,9,0,405,392,96.8,2023
Chelmsford,560000,4920,0,212,24,96,50,44,119,15,5480,5302,96.8,2023
Chelsea,570000,5914,0,240,118,915,44,9,38,0,7278,7231,99.4,2023
Cheshire (non-op),580000,0,201,48,0,24,56,8,33,0,370,329,88.9,2023
Chester (non-op),590000,0,111,6,0,1,6,5,0,0,129,124,96.10000000000001,2023
Chesterfield (non-op),600000,0,75,0,0,1,24,8,1,0,109,100,91.7,2023
Chicopee,610000,6492,0,0,0,364,319,110,403,1,7689,7175,93.3,2023
Chilmark (non-op),620000,0,103,0,0,12,1,4,11,0,131,116,88.60000000000001,2023
Clarksburg,630000,123,0,51,0,3,36,7,0,0,220,213,96.8,2023
Clinton,640000,1726,0,64,11,78,82,28,173,2,2164,1961,90.60000000000001,2023
Cohasset,650000,1323,0,11,7,11,2,11,260,4,1629,1354,83.10000000000001,2023
Colrain (non-op),660000,0,113,20,0,5,22,15,8,0,183,160,87.4,2023
Concord,670000,1792,939,36,5,4,2,33,447,11,3269,2778,85.0,2023
Conway,680000,61,70,11,1,9,12,9,27,1,201,164,81.60000000000001,2023
Cummington (non-op),690000,0,14,6,0,1,27,14,13,0,75,48,64.0,2023
Dalton (non-op),700000,0,798,9,0,21,47,16,48,0,939,875,93.2,2023
Danvers,710000,3074,0,246,29,23,55,34,358,3,3822,3427,89.7,2023
Dartmouth,720000,3104,0,323,0,6,56,80,335,24,3928,3489,88.8,2023
Dedham,730000,2428,0,100,13,32,35,38,488,0,3134,2608,83.2,2023
Deerfield,740000,280,201,28,3,22,11,31,86,0,662,545,82.3,2023
Dennis (non-op),750000,0,782,76,15,56,146,30,49,0,1154,1075,93.2,2023
Devens (non-op),3520000,0,0,2,7,9,82,0,2,0,102,100,98.0,2023
Dighton (non-op),760000,0,1074,132,9,2,33,38,74,33,1395,1250,89.60000000000001,2023
Douglas,770000,1033,0,129,0,0,61,81,78,19,1401,1223,87.3,2023
Dover,780000,483,599,4,1,0,7,3,129,2,1228,1094,89.10000000000001,2023
Dracut,790000,3492,0,438,27,264,70,55,493,17,4856,4291,88.4,2023
Dudley (non-op),800000,0,1498,131,4,3,29,36,51,17,1769,1665,94.10000000000001,2023
Dunstable (non-op),810000,0,510,12,4,4,8,26,24,12,600,538,89.7,2023
Duxbury,820000,2759,0,7,7,14,12,18,154,2,2973,2799,94.2,2023
East Bridgewater,830000,1897,0,97,10,16,59,36,74,0,2189,2079,95.0,2023
East Brookfield (non-op),840000,0,170,19,2,14,79,8,6,0,298,284,95.3,2023
East Longmeadow,870000,2464,0,1,3,10,29,34,56,4,2601,2507,96.4,2023
Eastham,850000,184,211,22,3,12,40,7,6,0,485,472,97.3,2023
Easthampton,860000,1271,0,0,0,92,154,34,105,0,1656,1517,91.60000000000001,2023
Easton,880000,3332,0,81,11,19,36,32,106,0,3617,3479,96.2,2023
Edgartown,890000,400,178,0,0,33,16,4,20,6,657,627,95.4,2023
Egremont (non-op),900000,0,54,0,0,0,30,6,20,0,110,84,76.4,2023
Erving,910000,100,0,26,0,2,79,7,9,1,224,207,92.4,2023
Essex (non-op),920000,0,462,20,5,0,7,12,83,4,593,494,83.3,2023
Everett,930000,7126,0,1,21,778,19,2,197,0,8144,7945,97.60000000000001,2023
Fairhaven,940000,1788,0,175,11,5,75,25,108,0,2187,2054,93.9,2023
Fall River,950000,10304,0,1103,93,1903,30,121,1081,11,14646,13433,91.7,2023
Falmouth,960000,2770,0,179,24,124,81,44,168,0,3390,3178,93.8,2023
Fitchburg,970000,4816,0,326,81,242,316,145,400,0,6326,5781,91.4,2023
Florida,980000,37,0,31,0,1,9,6,0,0,84,78,92.9,2023
Foxborough,990000,2333,0,52,3,100,0,22,294,10,2814,2488,88.4,2023
Framingham,1000000,8979,0,635,157,299,94,91,166,0,10421,10164,97.5,2023
Franklin,1010000,4567,0,171,24,348,59,46,110,23,5348,5169,96.7,2023
Freetown,1020000,0,1152,47,8,4,50,35,38,3,1337,1261,94.3,2023
Gardner,1030000,2150,0,167,9,21,177,109,102,0,2735,2524,92.3,2023
Georgetown,1050000,1214,0,68,3,0,0,23,116,0,1424,1285,90.2,2023
Gill (non-op),1060000,0,84,24,0,18,0,14,8,7,155,126,81.3,2023
Gloucester,1070000,2698,0,102,46,1,212,47,148,0,3254,3059,94.0,2023
Goshen (non-op),1080000,0,82,0,0,0,17,1,5,0,105,99,94.3,2023
Gosnold,1090000,0,0,0,0,0,0,0,1,1,2,0,0.0,2023
Grafton,1100000,3029,0,96,0,11,42,39,166,0,3383,3178,93.9,2023
Granby,1110000,573,0,19,0,23,43,18,40,0,716,658,91.9,2023
Granville,1120000,0,137,0,0,0,10,6,9,1,163,147,90.2,2023
Great Barrington (non-op),1130000,0,591,0,0,0,48,14,143,15,811,639,78.8,2023
Greenfield,1140000,1254,0,118,23,114,329,119,104,17,2078,1838,88.5,2023
Groton (non-op),1150000,0,1732,41,2,37,21,37,112,30,2012,1833,91.10000000000001,2023
Groveland (non-op),1160000,0,837,34,5,9,16,14,34,1,950,901,94.8,2023
Hadley,1170000,346,0,0,0,47,56,14,44,0,507,449,88.60000000000001,2023
Halifax,1180000,568,461,0,10,14,15,22,16,0,1106,1068,96.60000000000001,2023
Hamilton (non-op),1190000,0,1030,18,2,0,11,33,271,12,1377,1061,77.10000000000001,2023
Hampden (non-op),1200000,0,437,0,0,0,4,15,25,0,481,441,91.7,2023
Hancock,1210000,30,0,12,0,0,35,6,0,0,83,77,92.8,2023
Hanover,1220000,2520,0,71,2,26,16,14,107,7,2763,2635,95.4,2023
Hanson (non-op),1230000,0,1415,86,6,25,10,29,52,0,1623,1542,95.0,2023
Hardwick (non-op),1240000,0,296,21,2,1,16,21,25,0,382,336,88.0,2023
Harvard,1250000,855,0,6,9,23,56,10,45,3,1007,949,94.2,2023
Harwich,1260000,0,1113,70,2,35,86,28,48,0,1382,1306,94.5,2023
Hatfield,1270000,229,0,28,1,12,12,0,30,0,312,282,90.4,2023
Haverhill,1280000,7180,0,894,20,390,180,131,861,19,9675,8664,89.60000000000001,2023
Hawley (non-op),1290000,0,17,4,0,0,3,1,5,0,30,24,80.0,2023
Heath (non-op),1300000,0,47,6,0,1,29,10,6,0,99,83,83.8,2023
Hingham,1310000,3680,0,0,15,8,9,8,870,0,4590,3712,80.9,2023
Hinsdale (non-op),1320000,0,159,7,0,2,10,10,15,0,203,178,87.7,2023
Holbrook,1330000,1255,0,109,11,25,0,11,105,0,1516,1400,92.4,2023
Holden (non-op),1340000,0,3141,126,13,40,51,59,252,1,3683,3371,91.5,2023
Holland,1350000,161,88,39,0,9,2,19,1,0,319,299,93.7,2023
Holliston,1360000,2711,0,0,10,0,1,22,116,0,2860,2722,95.2,2023
Holyoke,1370000,4069,0,0,0,713,338,30,262,8,5420,5120,94.5,2023
Hopedale,1380000,816,0,73,5,3,30,11,32,0,970,927,95.60000000000001,2023
Hopkinton,1390000,4068,0,24,10,3,20,18,98,1,4242,4125,97.2,2023
Hubbardston (non-op),1400000,0,501,40,2,7,19,37,11,0,617,569,92.2,2023
Hudson,1410000,2339,0,202,5,204,23,37,101,1,2912,2773,95.2,2023
Hull,1420000,729,0,0,13,19,8,14,38,0,821,769,93.7,2023
Huntington (non-op),1430000,0,234,32,0,7,27,7,3,0,310,300,96.8,2023
Ipswich,1440000,1487,0,47,0,0,18,21,95,2,1670,1552,92.9,2023
Kingston,1450000,1089,886,0,12,59,19,36,102,0,2203,2065,93.7,2023
Lakeville,1460000,0,1494,149,18,12,55,31,62,0,1821,1728,94.9,2023
Lancaster (non-op),1470000,0,955,56,0,9,40,27,50,0,1137,1060,93.2,2023
Lanesborough,1480000,0,321,28,0,4,27,9,9,0,398,380,95.5,2023
Lawrence,1490000,12690,0,1207,9,1611,9,36,999,1,16562,15526,93.7,2023
Lee,1500000,438,0,0,0,0,110,8,37,0,593,548,92.4,2023
Leicester,1510000,1226,0,0,8,22,134,32,55,0,1477,1390,94.10000000000001,2023
Lenox,1520000,428,0,0,0,0,41,4,36,0,509,469,92.10000000000001,2023
Leominster,1530000,5860,0,0,37,98,251,71,378,0,6695,6246,93.3,2023
Leverett,1540000,93,87,4,0,9,8,10,12,0,223,201,90.10000000000001,2023
Lexington,1550000,6751,0,75,30,1,22,28,775,53,7735,6879,88.9,2023
Leyden (non-op),1560000,0,7,1,0,2,3,4,13,0,30,13,43.300000000000004,2023
Lincoln,1570000,405,164,1,2,0,3,11,78,1,665,575,86.5,2023
Littleton,1580000,1545,0,44,7,48,24,17,44,0,1729,1668,96.5,2023
Longmeadow,1590000,2604,0,2,11,16,3,22,155,60,2873,2636,91.8,2023
Lowell,1600000,13558,0,1729,33,2178,211,112,893,7,18721,17709,94.60000000000001,2023
Ludlow,1610000,2100,0,14,5,28,62,35,194,3,2441,2209,90.5,2023
Lunenburg,1620000,1712,0,91,1,27,0,71,75,0,1977,1831,92.60000000000001,2023
Lynn,1630000,14496,0,0,69,1535,30,53,921,0,17104,16130,94.3,2023
Lynnfield,1640000,2107,0,35,6,0,5,20,239,1,2413,2153,89.2,2023
Malden,1650000,5976,0,163,32,640,22,55,382,0,7270,6833,94.0,2023
Manchester (non-op),1660000,0,645,13,2,0,6,8,167,9,850,666,78.4,2023
Mansfield,1670000,3342,0,103,14,51,32,47,231,19,3839,3542,92.3,2023
Marblehead,1680000,2478,0,26,13,138,14,25,555,6,3255,2669,82.0,2023
Marion,1690000,377,298,25,3,2,9,6,103,8,831,714,85.9,2023
Marlborough,1700000,4705,0,492,20,528,142,69,227,0,6183,5887,95.2,2023
Marshfield,1710000,3647,0,9,17,26,18,30,174,0,3921,3717,94.8,2023
Mashpee,1720000,1388,0,53,9,48,81,21,123,2,1725,1579,91.5,2023
Mattapoisett,1730000,385,324,43,3,0,10,5,63,2,835,765,91.60000000000001,2023
Maynard,1740000,1118,0,71,5,71,67,21,32,2,1387,1332,96.0,2023
Medfield,1750000,2475,0,9,4,2,10,21,187,1,2709,2500,92.3,2023
Medford,1760000,4059,0,0,11,425,46,44,543,0,5128,4541,88.60000000000001,2023
Medway,1770000,2069,0,93,9,16,42,23,67,4,2323,2229,96.0,2023
Melrose,1780000,3563,0,73,13,245,39,29,371,3,4336,3933,90.7,2023
Mendon (non-op),1790000,0,818,81,0,9,37,9,79,13,1046,945,90.3,2023
Merrimac (non-op),1800000,0,765,40,3,4,30,13,51,0,906,842,92.9,2023
Methuen,1810000,6334,0,421,49,151,106,107,696,36,7900,7061,89.4,2023
Middleborough,1820000,2918,0,153,15,50,99,88,64,0,3387,3235,95.5,2023
Middlefield (non-op),1830000,0,15,3,0,0,4,3,0,0,25,22,88.0,2023
Middleton,1840000,673,509,48,7,4,16,4,108,0,1369,1257,91.8,2023
Milford,1850000,4219,0,160,29,131,237,43,125,8,4952,4776,96.5,2023
Millbury,1860000,1586,0,94,15,10,63,30,61,0,1859,1768,95.10000000000001,2023
Millis,1870000,1125,0,37,4,6,39,9,65,0,1285,1211,94.2,2023
Millville (non-op),1880000,0,2,32,0,23,20,0,0,0,77,77,100.0,2023
Milton,1890000,4178,0,47,10,15,20,22,964,1,5257,4270,81.2,2023
Monroe (non-op),1900000,0,0,4,0,0,17,0,0,0,21,21,100.0,2023
Monson,1910000,678,0,82,5,41,48,26,15,0,895,854,95.4,2023
Montague (non-op),1920000,0,779,83,0,31,0,53,37,9,992,893,90.0,2023
Monterey (non-op),1930000,0,35,0,0,0,42,5,6,0,88,77,87.5,2023
Montgomery (non-op),1940000,0,54,3,0,0,11,10,5,0,83,68,81.9,2023
Mount Washington (non-op),1950000,0,0,0,0,0,5,0,0,0,5,5,100.0,2023
Nahant,1960000,113,0,9,0,9,94,0,32,0,257,225,87.60000000000001,2023
Nantucket,1970000,1655,0,0,0,0,0,7,179,1,1842,1655,89.9,2023
Natick,1980000,5177,0,49,27,16,44,30,362,0,5705,5313,93.10000000000001,2023
Needham,1990000,5195,0,34,13,8,17,16,1203,0,6486,5267,81.2,2023
New Ashford (non-op),2000000,0,0,1,0,0,16,0,0,0,17,17,100.0,2023
New Bedford,2010000,10773,0,1581,22,1558,345,298,734,0,15311,14279,93.3,2023
New Braintree (non-op),2020000,0,108,9,0,0,5,6,3,0,131,122,93.10000000000001,2023
New Marlborough (non-op),2050000,0,76,0,0,0,31,6,16,0,129,107,83.0,2023
New Salem (non-op),2060000,0,68,12,0,2,9,8,4,0,103,91,88.4,2023
Newbury (non-op),2030000,0,565,18,1,19,38,21,110,0,772,641,83.0,2023
Newburyport,2040000,2002,0,31,4,121,30,18,267,32,2505,2188,87.4,2023
Newton,2070000,11074,0,0,6,3,25,54,3229,54,14445,11108,76.9,2023
Norfolk,2080000,954,643,41,6,17,16,30,134,22,1863,1677,90.0,2023
North Adams,2090000,878,0,150,0,82,138,43,45,0,1336,1248,93.4,2023
North Andover,2110000,4242,0,56,11,11,26,35,603,9,4993,4346,87.0,2023
North Attleborough,2120000,3772,0,236,12,125,48,58,408,41,4700,4193,89.2,2023
North Brookfield,2150000,427,0,41,1,13,170,38,10,0,700,652,93.10000000000001,2023
North Reading,2170000,2301,0,44,10,0,7,12,161,0,2535,2362,93.2,2023
Northampton,2100000,2260,0,0,5,166,206,65,319,0,3021,2637,87.3,2023
Northborough,2130000,1607,750,0,1,8,79,38,105,0,2588,2445,94.5,2023
Northbridge,2140000,1759,0,141,8,4,177,71,244,2,2406,2089,86.8,2023
Northfield (non-op),2160000,0,12,41,0,16,4,37,23,5,138,73,52.9,2023
Norton,2180000,2070,0,97,14,66,37,53,103,2,2442,2284,93.5,2023
Norwell,2190000,2101,0,19,7,14,11,13,202,11,2378,2152,90.5,2023
Norwood,2200000,3364,0,107,15,72,46,35,368,0,4007,3604,89.9,2023
Oak Bluffs,2210000,373,211,0,0,35,21,13,7,1,661,640,96.8,2023
Oakham (non-op),2220000,0,217,13,2,2,9,25,2,0,270,243,90.0,2023
Orange,2230000,468,350,93,12,10,123,24,3,0,1083,1056,97.5,2023
Orleans,2240000,147,226,11,1,33,20,27,12,0,477,438,91.8,2023
Otis (non-op),2250000,0,96,4,0,0,21,8,2,0,131,121,92.4,2023
Oxford,2260000,1398,0,148,9,29,71,63,87,19,1824,1655,90.7,2023
Palmer,2270000,1080,0,185,2,22,118,61,42,4,1514,1407,92.9,2023
Paxton (non-op),2280000,0,616,33,1,8,9,11,41,0,719,667,92.8,2023
Peabody,2290000,5405,0,378,40,99,75,53,688,1,6739,5997,89.0,2023
Pelham,2300000,59,60,0,0,2,9,2,8,0,140,130,92.9,2023
Pembroke,2310000,2416,0,60,9,53,20,33,131,0,2722,2558,94.0,2023
Pepperell (non-op),2320000,0,1454,132,19,22,27,68,38,33,1793,1654,92.3,2023
Peru (non-op),2330000,0,82,10,0,1,0,4,3,0,100,93,93.0,2023
Petersham,2340000,66,30,11,1,2,32,15,9,0,166,142,85.5,2023
Phillipston (non-op),2350000,0,173,23,2,0,19,10,8,0,235,217,92.3,2023
Pittsfield,2360000,4821,0,0,0,168,579,84,145,12,5809,5568,95.9,2023
Plainfield (non-op),2370000,0,45,6,0,2,6,2,3,0,64,59,92.2,2023
Plainville,2380000,580,470,110,5,50,7,27,73,19,1341,1222,91.10000000000001,2023
Plymouth,2390000,6915,0,0,38,459,106,141,216,0,7875,7518,95.5,2023
Plympton,2400000,243,174,0,3,16,2,9,7,0,454,438,96.5,2023
Princeton (non-op),2410000,0,403,26,1,0,4,15,37,1,487,434,89.10000000000001,2023
Provincetown,2420000,59,0,10,0,0,77,0,0,0,146,146,100.0,2023
Quincy,2430000,9400,0,1,73,56,71,67,750,1,10419,9601,92.2,2023
Randolph,2440000,2585,0,273,42,368,151,22,454,0,3895,3419,87.8,2023
Raynham (non-op),2450000,0,2042,199,11,11,90,30,62,0,2445,2353,96.2,2023
Reading,2460000,3624,0,29,12,0,117,19,158,3,3962,3782,95.5,2023
Rehoboth (non-op),2470000,0,1415,100,1,0,23,45,64,189,1837,1539,83.8,2023
Revere,2480000,7187,0,261,119,553,42,5,444,0,8611,8162,94.8,2023
Richmond,2490000,68,0,0,0,0,45,0,5,0,118,113,95.8,2023
Rochester,2500000,471,318,99,2,8,9,17,43,3,970,907,93.5,2023
Rockland,2510000,1974,0,136,7,109,26,31,119,0,2402,2252,93.8,2023
Rockport,2520000,518,0,12,8,0,39,7,52,2,638,577,90.4,2023
Rowe,2530000,20,0,8,0,1,13,2,0,0,44,42,95.5,2023
Rowley (non-op),2540000,0,665,29,4,2,29,28,76,0,833,729,87.5,2023
Royalston (non-op),2550000,0,84,10,0,0,32,15,6,4,151,126,83.4,2023
Russell (non-op),2560000,0,179,19,0,0,25,22,10,0,255,223,87.5,2023
Rutland (non-op),2570000,0,1574,57,0,26,28,26,66,2,1779,1685,94.7,2023
Salem,2580000,3577,0,185,15,480,115,62,361,0,4795,4372,91.2,2023
Salisbury (non-op),2590000,0,776,51,7,18,45,18,40,0,955,897,93.9,2023
Sandisfield (non-op),2600000,0,70,0,0,0,21,4,9,0,104,91,87.5,2023
Sandwich,2610000,1953,0,148,14,188,71,62,295,1,2732,2374,86.9,2023
Saugus,2620000,2508,0,159,41,265,55,43,454,0,3525,3028,85.9,2023
Savoy,2630000,23,0,9,0,1,12,1,1,0,47,45,95.7,2023
Scituate,2640000,2684,0,35,9,17,0,24,262,0,3031,2745,90.60000000000001,2023
Seekonk,2650000,1987,0,83,10,3,34,31,48,165,2361,2117,89.7,2023
Sharon,2660000,3442,0,28,9,11,14,30,246,9,3789,3504,92.5,2023
Sheffield (non-op),2670000,0,291,0,0,0,35,11,39,0,376,326,86.7,2023
Shelburne (non-op),2680000,0,118,10,0,6,16,9,31,0,190,150,79.0,2023
Sherborn,2690000,379,526,1,4,0,2,5,54,1,972,912,93.8,2023
Shirley,2700000,0,659,42,8,24,49,30,55,3,870,782,89.9,2023
Shrewsbury,2710000,5753,0,0,2,24,82,29,403,0,6293,5861,93.10000000000001,2023
Shutesbury,2720000,87,93,3,0,4,17,7,8,0,219,204,93.2,2023
Somerset,2730000,1529,698,146,12,17,69,47,57,10,2585,2471,95.60000000000001,2023
Somerville,2740000,4439,0,0,15,401,14,35,691,0,5595,4869,87.0,2023
South Hadley,2780000,1492,0,0,0,146,136,24,108,1,1907,1774,93.0,2023
Southampton,2750000,393,285,0,2,21,89,19,29,1,839,790,94.2,2023
Southborough,2760000,1177,479,0,0,2,39,0,192,0,1889,1697,89.8,2023
