Town,Town Code,Local Public Schools,Academic Regional Schools,Vocational Technical Regional Schools,Collaboratives,Charter Schools,Out-of-District Public Schools,Home Schooled,In State Private and Parochial Schools,Out-of-state Private and Parochial Schools,Total,Total Public,% Public,End of School Year
Hull,1420000,771,0,0,9,22,15,47,52,0,916,817,89.2,2021
Huntington (non-op),1430000,0,213,27,0,4,24,21,6,0,295,268,90.9,2021
Ipswich,1440000,1518,0,38,0,0,24,47,108,8,1743,1580,90.7,2021
Kingston,1450000,1021,889,0,13,70,19,50,110,0,2172,2012,92.60000000000001,2021
Lakeville,1460000,0,1463,145,13,11,35,47,81,1,1796,1667,92.8,2021
Lancaster (non-op),1470000,0,920,57,0,7,24,55,58,1,1122,1008,89.8,2021
Lanesborough,1480000,0,320,21,0,1,35,20,6,0,403,377,93.60000000000001,2021
Lawrence,1490000,12642,0,1209,19,1793,23,37,953,2,16678,15686,94.10000000000001,2021
Lee,1500000,449,0,0,0,0,108,14,53,0,624,557,89.3,2021
Leicester,1510000,1274,0,71,11,26,43,44,42,0,1511,1425,94.3,2021
Lenox,1520000,436,0,0,0,2,60,19,30,0,547,498,91.0,2021
Leominster,1530000,6036,0,13,49,95,46,118,378,0,6735,6239,92.60000000000001,2021
Leverett,1540000,90,74,5,0,6,9,21,9,0,214,184,86.0,2021
Lexington,1550000,6624,0,70,40,5,29,54,762,46,7630,6768,88.7,2021
Leyden (non-op),1560000,0,6,1,0,0,4,16,8,0,35,11,31.400000000000002,2021
Lincoln,1570000,405,182,8,2,0,6,19,95,0,717,603,84.10000000000001,2021
Littleton,1580000,1444,0,37,11,49,27,37,53,4,1662,1568,94.3,2021
Longmeadow,1590000,2596,0,1,11,20,4,50,142,54,2878,2632,91.5,2021
Lowell,1600000,13493,0,3548,13,1047,226,112,572,8,19019,18327,96.4,2021
Ludlow,1610000,2249,0,13,6,24,30,73,198,1,2594,2322,89.5,2021
Lunenburg,1620000,1541,0,80,0,34,0,109,75,0,1839,1655,90.0,2021
Lynn,1630000,15160,0,58,82,1853,153,72,502,0,17880,17306,96.8,2021
Lynnfield,1640000,2105,0,46,4,1,2,30,199,1,2388,2158,90.4,2021
Malden,1650000,5864,0,153,33,807,41,48,294,0,7240,6898,95.3,2021
Manchester (non-op),1660000,0,743,11,4,0,0,0,144,8,910,758,83.3,2021
Mansfield,1670000,3410,0,94,18,82,20,62,206,31,3923,3624,92.4,2021
Marblehead,1680000,2537,0,38,3,115,16,48,270,3,3030,2709,89.4,2021
Marion,1690000,374,323,21,4,2,6,28,114,3,875,730,83.4,2021
Marlborough,1700000,4478,0,412,15,494,105,77,194,0,5775,5504,95.3,2021
Marshfield,1710000,3684,0,13,16,26,30,49,185,0,4003,3769,94.2,2021
Mashpee,1720000,1306,0,44,9,58,119,46,92,1,1675,1536,91.7,2021
Mattapoisett,1730000,376,361,46,2,1,3,21,59,3,872,789,90.5,2021
Maynard,1740000,1098,0,74,8,78,65,56,37,0,1416,1323,93.4,2021
Medfield,1750000,2470,0,18,3,0,7,32,177,4,2711,2498,92.10000000000001,2021
Medford,1760000,3870,0,0,23,482,35,108,648,0,5166,4410,85.4,2021
Medway,1770000,34,0,74,7,24,35,38,64,5,281,174,61.9,2021
Melrose,1780000,3369,0,45,18,277,19,60,428,2,4218,3728,88.4,2021
Mendon (non-op),1790000,0,883,70,1,4,38,16,70,10,1092,996,91.2,2021
Merrimac (non-op),1800000,0,757,59,3,7,18,24,39,0,907,844,93.10000000000001,2021
Methuen,1810000,6424,0,327,39,138,81,118,734,8,7869,7009,89.10000000000001,2021
Middleborough,1820000,2831,0,212,25,65,70,134,84,0,3421,3203,93.60000000000001,2021
Middlefield (non-op),1830000,0,20,3,0,0,5,2,0,0,30,28,93.3,2021
Middleton,1840000,615,580,47,4,6,9,21,85,1,1368,1261,92.2,2021
Milford,1850000,3987,0,149,33,92,239,65,128,13,4706,4500,95.60000000000001,2021
Millbury,1860000,1494,0,95,14,7,70,36,20,0,1736,1680,96.8,2021
Millis,1870000,1115,0,59,5,5,46,15,76,0,1321,1230,93.10000000000001,2021
Milton,1890000,4228,0,42,8,5,7,40,939,1,5270,4290,81.4,2021
Monroe (non-op),1900000,0,0,3,0,0,15,0,0,0,18,18,100.0,2021
Monson,1910000,801,0,72,1,0,94,33,30,0,1031,968,93.9,2021
Montague (non-op),1920000,0,583,103,1,56,196,64,32,2,1037,939,90.60000000000001,2021
Monterey (non-op),1930000,0,52,0,0,0,32,7,4,0,95,84,88.4,2021
Montgomery (non-op),1940000,0,59,4,0,0,9,11,6,0,89,72,80.9,2021
Nahant,1960000,237,0,11,0,8,0,0,45,0,301,256,85.10000000000001,2021
Nantucket,1970000,1583,0,0,0,0,0,15,172,0,1770,1583,89.4,2021
Natick,1980000,5059,0,58,3,28,71,65,503,0,5787,5219,90.2,2021
Needham,1990000,5193,0,27,19,3,22,50,1169,2,6485,5264,81.2,2021
New Ashford (non-op),2000000,0,0,1,0,0,20,0,0,0,21,21,100.0,2021
New Bedford,2010000,12416,0,1604,30,1292,293,211,831,2,16679,15635,93.7,2021
New Braintree (non-op),2020000,0,109,11,0,0,7,12,3,0,142,127,89.4,2021
New Marlborough (non-op),2050000,0,97,0,0,0,27,11,11,0,146,124,84.9,2021
New Salem (non-op),2060000,0,77,9,0,0,9,15,6,0,116,95,81.9,2021
Newbury (non-op),2030000,0,592,19,0,21,30,11,88,2,763,662,86.8,2021
Newburyport,2040000,2132,0,32,0,139,26,47,214,13,2603,2329,89.5,2021
Newton,2070000,11246,0,0,8,5,44,170,3279,23,14775,11303,76.5,2021
Norfolk,2080000,935,646,23,15,20,24,42,129,8,1842,1663,90.3,2021
North Adams,2090000,1004,0,159,0,70,129,65,52,0,1479,1362,92.10000000000001,2021
North Andover,2110000,4504,0,52,13,8,34,43,672,2,5328,4611,86.5,2021
North Attleborough,2120000,3780,0,254,13,149,49,72,424,31,4772,4245,89.0,2021
North Brookfield,2150000,534,0,35,1,12,109,53,5,1,750,691,92.10000000000001,2021
North Reading,2170000,2260,0,42,8,2,5,15,147,2,2481,2317,93.4,2021
Northampton,2100000,2365,0,0,4,167,183,128,381,1,3229,2719,84.2,2021
Northborough,2130000,1533,860,60,0,5,23,62,182,3,2728,2481,91.0,2021
Northbridge,2140000,1772,0,165,10,3,205,94,231,6,2486,2155,86.7,2021
Northfield (non-op),2160000,0,10,27,1,11,5,57,30,5,146,54,37.0,2021
Norton,2180000,2133,0,111,19,83,29,53,115,2,2545,2375,93.3,2021
Norwell,2190000,2155,0,22,7,17,12,27,179,5,2424,2213,91.3,2021
Norwood,2200000,3326,0,95,13,66,39,50,401,0,3990,3539,88.7,2021
Oak Bluffs,2210000,371,185,0,0,35,28,18,10,2,649,619,95.4,2021
Oakham (non-op),2220000,0,227,13,1,1,10,24,8,0,284,252,88.7,2021
Orange,2230000,452,399,76,0,9,116,44,0,0,1096,1052,96.0,2021
Orleans,2240000,171,195,15,2,26,8,42,1,0,460,417,90.7,2021
Otis (non-op),2250000,0,90,3,0,0,21,11,0,0,125,114,91.2,2021
Oxford,2260000,1380,0,135,5,28,104,52,107,18,1829,1652,90.3,2021
Palmer,2270000,1121,0,186,1,25,114,58,28,3,1536,1447,94.2,2021
Paxton (non-op),2280000,0,604,20,1,5,27,17,46,0,720,657,91.3,2021
Peabody,2290000,5516,0,305,37,76,64,60,704,2,6764,5998,88.7,2021
Pelham,2300000,65,52,0,0,1,10,8,7,0,143,128,89.5,2021
Pembroke,2310000,2538,0,0,11,59,102,55,139,0,2904,2710,93.3,2021
Pepperell (non-op),2320000,0,1362,109,9,17,34,110,41,34,1716,1531,89.2,2021
Peru (non-op),2330000,0,85,9,0,1,1,2,4,0,102,96,94.10000000000001,2021
Petersham,2340000,61,33,4,0,2,27,11,7,0,145,127,87.60000000000001,2021
Phillipston (non-op),2350000,0,157,18,2,3,15,31,9,0,235,195,83.0,2021
Pittsfield,2360000,4943,0,2,0,193,574,112,140,12,5976,5712,95.60000000000001,2021
Plainfield (non-op),2370000,0,40,4,0,2,5,10,4,0,65,51,78.5,2021
Plainville,2380000,583,511,83,9,53,10,37,70,13,1369,1249,91.2,2021
Plymouth,2390000,6889,0,0,32,502,91,202,257,2,7975,7514,94.2,2021
Plympton,2400000,204,190,0,3,11,9,13,12,0,442,417,94.3,2021
Princeton (non-op),2410000,0,397,30,0,0,8,41,31,0,507,435,85.8,2021
Provincetown,2420000,58,0,11,0,4,4,0,0,0,77,77,100.0,2021
Quincy,2430000,8713,0,0,66,58,51,52,774,2,9716,8888,91.5,2021
Randolph,2440000,2632,0,280,21,478,112,17,504,0,4044,3523,87.10000000000001,2021
Raynham (non-op),2450000,0,2038,165,11,22,74,39,54,3,2406,2310,96.0,2021
Reading,2460000,3806,0,42,12,0,9,36,340,1,4246,3869,91.10000000000001,2021
Rehoboth (non-op),2470000,0,1482,70,2,0,42,62,78,192,1928,1596,82.8,2021
Revere,2480000,7059,0,261,119,500,39,8,350,0,8336,7978,95.7,2021
Richmond,2490000,73,0,0,0,0,29,13,9,0,124,102,82.3,2021
Rochester,2500000,456,342,90,1,3,3,56,37,4,992,895,90.2,2021
Rockland,2510000,2169,0,150,0,111,102,46,88,0,2666,2532,95.0,2021
Rockport,2520000,549,0,26,6,0,28,33,51,0,693,609,87.9,2021
Rowe,2530000,20,0,5,0,0,22,0,0,0,47,47,100.0,2021
Rowley (non-op),2540000,0,633,25,0,0,35,15,64,0,772,693,89.8,2021
Royalston (non-op),2550000,0,92,12,0,1,35,14,5,4,163,140,85.9,2021
Russell (non-op),2560000,0,177,24,0,0,16,19,7,0,243,217,89.3,2021
Rutland (non-op),2570000,0,1456,60,2,3,51,69,49,0,1690,1572,93.0,2021
Salem,2580000,3605,0,196,14,473,107,57,339,0,4791,4395,91.7,2021
Salisbury (non-op),2590000,0,774,35,0,23,13,9,34,2,890,845,94.9,2021
Sandisfield (non-op),2600000,0,68,0,0,0,21,6,0,0,95,89,93.7,2021
Sandwich,2610000,2257,0,129,19,222,83,160,201,0,3071,2710,88.2,2021
Saugus,2620000,2456,0,168,0,219,33,0,0,0,2876,2876,100.0,2021
Savoy,2630000,23,0,5,0,3,18,14,1,0,64,49,76.60000000000001,2021
Scituate,2640000,2799,0,30,16,26,4,40,228,0,3143,2875,91.5,2021
Seekonk,2650000,2001,0,80,12,3,31,34,47,156,2364,2127,90.0,2021
Sharon,2660000,3411,0,17,3,19,18,94,228,5,3795,3468,91.4,2021
Sheffield (non-op),2670000,0,315,0,0,0,33,25,24,9,406,348,85.7,2021
Shelburne (non-op),2680000,0,119,16,0,9,19,16,22,0,201,163,81.10000000000001,2021
Sherborn,2690000,384,520,2,2,0,0,15,51,2,976,908,93.0,2021
Shirley,2700000,0,627,54,6,26,57,35,44,1,850,770,90.60000000000001,2021
Shrewsbury,2710000,5917,0,0,14,34,36,41,565,0,6607,6001,90.8,2021
Shutesbury,2720000,79,97,2,0,9,12,12,8,0,219,199,90.9,2021
Somerset,2730000,1547,691,137,33,16,61,88,43,12,2628,2485,94.60000000000001,2021
Somerville,2740000,4274,0,0,10,374,23,62,511,0,5254,4681,89.10000000000001,2021
Southampton,2750000,371,314,0,0,11,92,43,41,0,872,788,90.4,2021
Southborough,2760000,1133,495,26,0,5,23,27,213,0,1922,1682,87.5,2021
Southbridge,2770000,1778,0,190,14,128,242,56,109,0,2517,2352,93.4,2021
Southwick (non-op),2790000,0,1038,0,0,2,40,68,39,9,1196,1080,90.3,2021
Spencer (non-op),2800000,0,1022,139,15,47,139,25,55,0,1442,1362,94.5,2021
Springfield,2810000,22827,0,0,14,4434,649,221,872,25,29042,27924,96.2,2021
Sterling (non-op),2820000,0,896,64,1,18,28,82,73,0,1162,1007,86.7,2021
Stockbridge (non-op),2830000,0,108,0,0,0,15,8,22,1,154,123,79.9,2021
Stoneham,2840000,2180,0,72,10,117,31,47,275,0,2732,2410,88.2,2021
Stoughton,2850000,3299,0,102,17,158,46,30,209,0,3861,3622,93.8,2021
Stow (non-op),2860000,0,1067,44,0,17,24,29,43,0,1224,1152,94.10000000000001,2021
Sturbridge,2870000,762,627,141,6,13,29,61,47,0,1686,1578,93.60000000000001,2021
Sudbury,2880000,2505,1210,0,5,12,20,45,164,0,3961,3752,94.7,2021
Sunderland,2890000,167,119,8,0,4,39,19,29,0,385,337,87.5,2021
Sutton,2900000,1193,0,120,3,0,21,60,42,0,1439,1337,92.9,2021
Swampscott,2910000,1901,0,35,6,54,11,26,260,9,2302,2007,87.2,2021
Swansea,2920000,1971,0,141,6,13,32,61,86,45,2355,2163,91.9,2021
Taunton,2930000,6888,0,539,70,98,234,129,117,0,8075,7829,97.0,2021
Templeton (non-op),2940000,0,931,87,7,10,92,68,31,0,1226,1127,91.9,2021
Tewksbury,2950000,3073,0,365,27,53,50,37,309,5,3919,3568,91.0,2021
Tisbury,2960000,251,189,0,0,32,44,14,32,2,564,516,91.5,2021
Tolland (non-op),2970000,0,28,0,0,0,10,5,1,0,44,38,86.4,2021
Topsfield,2980000,545,473,25,2,0,8,41,116,1,1211,1053,87.0,2021
Townsend (non-op),2990000,0,1127,78,18,34,38,79,25,5,1404,1295,92.2,2021
Truro,3000000,72,0,5,1,4,116,0,1,0,199,198,99.5,2021
Tyngsborough,3010000,1498,0,94,9,81,30,36,100,40,1888,1712,90.7,2021
Tyringham (non-op),3020000,0,0,0,0,0,31,0,5,0,36,31,86.10000000000001,2021
Upton (non-op),3030000,0,1113,87,3,10,35,36,57,3,1344,1248,92.9,2021
Uxbridge,3040000,1440,0,127,6,1,167,103,182,8,2034,1741,85.60000000000001,2021
Wakefield,3050000,3335,0,94,5,62,17,38,52,1,3604,3513,97.5,2021
Wales,3060000,111,87,49,1,9,8,20,1,0,286,265,92.7,2021
Walpole,3070000,3595,0,82,9,33,48,34,449,1,4251,3767,88.60000000000001,2021
Waltham,3080000,5269,0,0,0,16,97,66,665,3,6116,5382,88.0,2021
Ware,3090000,1051,0,108,0,0,160,55,18,0,1392,1319,94.8,2021
Wareham,3100000,1829,0,238,21,103,235,89,126,0,2641,2426,91.9,2021
Warren (non-op),3110000,0,587,38,4,0,44,47,4,0,724,673,93.0,2021
Warwick (non-op),3120000,0,7,6,0,1,2,17,2,0,35,16,45.7,2021
Washington (non-op),3130000,0,54,0,0,0,5,2,1,0,62,59,95.2,2021
Watertown,3140000,2404,0,50,5,6,20,66,445,0,2996,2485,82.9,2021
Wayland,3150000,2498,0,0,2,0,16,12,155,5,2688,2516,93.60000000000001,2021
Webster,3160000,1600,0,138,12,24,95,57,151,22,2099,1869,89.0,2021
Wellesley,3170000,4118,0,0,13,0,3,74,1228,2,5438,4134,76.0,2021
Wellfleet,3180000,102,144,15,2,3,7,12,0,0,285,273,95.8,2021
Wendell (non-op),3190000,0,83,8,1,5,7,15,6,0,125,104,83.2,2021
Wenham (non-op),3200000,0,531,9,3,0,9,29,141,1,723,552,76.4,2021
West Boylston,3220000,744,0,0,7,7,37,31,39,0,865,795,91.9,2021
West Bridgewater,3230000,1352,0,49,6,9,27,31,15,0,1489,1443,96.9,2021
West Brookfield (non-op),3240000,0,382,31,0,0,59,25,0,0,497,472,95.0,2021
West Newbury (non-op),3290000,0,528,11,4,22,6,23,74,1,669,571,85.4,2021
West Springfield,3320000,3895,0,0,0,0,0,93,193,6,4187,3895,93.0,2021
West Stockbridge (non-op),3330000,0,107,0,0,0,16,11,12,1,147,123,83.7,2021
West Tisbury (non-op),3340000,0,315,0,0,27,15,19,11,0,387,357,92.3,2021
Westborough,3210000,3685,0,44,3,11,31,55,131,6,3966,3774,95.2,2021
Westfield,3250000,4649,0,0,1,74,185,212,345,5,5471,4909,89.7,2021
Westford,3260000,4552,0,70,13,15,32,83,125,8,4898,4682,95.60000000000001,2021
Westhampton,3270000,75,80,0,0,4,27,10,10,0,206,186,90.3,2021
Westminster (non-op),3280000,0,1137,80,1,9,29,75,22,1,1354,1256,92.8,2021
Weston,3300000,1701,0,2,2,0,14,28,460,15,2222,1719,77.4,2021
Westport,3310000,1316,0,149,2,36,101,91,279,33,2007,1604,79.9,2021
Westwood,3350000,2862,0,6,9,0,15,11,289,0,3192,2892,90.60000000000001,2021
Weymouth,3360000,5266,0,1,47,280,84,80,698,0,6456,5678,88.0,2021
Whately,3370000,72,48,11,0,4,48,3,18,0,204,183,89.7,2021
Whitman (non-op),3380000,0,2143,141,17,24,41,45,66,2,2479,2366,95.4,2021
Wilbraham (non-op),3390000,0,2086,0,3,1,22,80,156,2,2350,2112,89.9,2021
Williamsburg,3400000,104,80,0,1,12,72,18,36,0,323,269,83.3,2021
Williamstown,3410000,0,619,16,0,8,5,41,62,10,761,648,85.2,2021
Wilmington,3420000,2863,0,287,20,5,24,77,233,2,3511,3199,91.10000000000001,2021
Winchendon,3430000,1122,0,113,16,27,93,99,29,0,1499,1371,91.5,2021
Winchester,3440000,4375,0,0,10,0,0,44,434,0,4863,4385,90.2,2021
Windsor (non-op),3450000,0,50,4,0,1,11,8,1,0,75,66,88.0,2021
Winthrop,3460000,1807,0,0,0,0,0,0,9,0,1816,1807,99.5,2021
Woburn,3470000,4147,0,137,37,28,41,80,308,0,4778,4390,91.9,2021
Worcester,3480000,22962,0,4,364,1962,327,339,1533,0,27491,25619,93.2,2021
Worthington (non-op),3490000,45,0,0,0,0,57,0,2,0,104,102,98.10000000000001,2021
Wrentham,3500000,826,782,55,8,54,21,47,84,31,1908,1746,91.5,2021
Yarmouth (non-op),3510000,0,1819,164,16,99,236,64,141,0,2539,2334,91.9,2021
State,0,695858,88211,31027,3610,44026,22645,17127,66253,1686,970443,885377,91.2,2021
Abington,10000,2058,0,97,26,32,36,32,132,0,2413,2249,93.2,2022
Acton,20000,0,4207,78,15,31,45,20,154,0,4550,4376,96.2,2022
Acushnet,30000,886,0,143,7,3,295,27,83,0,1444,1334,92.4,2022
Adams (non-op),40000,0,692,135,0,47,89,17,48,0,1028,963,93.7,2022
Agawam,50000,3191,0,0,10,71,58,121,157,3,3611,3330,92.2,2022
Alford (non-op),60000,0,12,0,0,0,7,7,10,0,36,19,52.800000000000004,2022
Amesbury,70000,1667,0,115,14,76,52,53,138,17,2132,1924,90.2,2022
Amherst,80000,922,926,0,0,146,76,37,71,0,2178,2070,95.0,2022
Andover,90000,5361,0,59,8,14,12,0,1031,0,6485,5454,84.10000000000001,2022
Aquinnah (non-op),1040000,0,50,0,0,6,0,0,1,1,58,56,96.60000000000001,2022
Arlington,100000,5809,0,202,61,18,30,50,703,0,6873,6120,89.0,2022
Ashburnham (non-op),110000,0,974,66,4,5,32,26,17,0,1124,1081,96.2,2022
Ashby (non-op),120000,0,370,34,3,6,12,39,16,3,483,425,88.0,2022
Ashfield (non-op),130000,0,93,9,0,8,35,19,8,0,172,145,84.3,2022
Ashland,140000,2795,0,61,8,1,21,24,125,0,3035,2886,95.10000000000001,2022
Athol (non-op),150000,0,1361,112,25,3,230,114,15,1,1861,1731,93.0,2022
Attleboro,160000,5682,0,44,16,303,17,151,417,24,6654,6062,91.10000000000001,2022
Auburn,170000,2459,0,123,7,7,29,20,97,4,2746,2625,95.60000000000001,2022
Avon,180000,539,0,48,1,9,11,8,50,0,666,608,91.3,2022
Ayer,190000,0,16,60,15,26,74,22,33,2,248,191,77.0,2022
Barnstable,200000,4776,0,168,24,303,108,133,544,0,6056,5379,88.8,2022
Barre (non-op),210000,0,697,45,8,3,14,44,12,0,823,767,93.2,2022
Becket (non-op),220000,0,123,11,0,2,57,10,10,0,213,193,90.60000000000001,2022
Bedford,230000,2519,0,45,15,5,18,34,112,2,2750,2602,94.60000000000001,2022
Belchertown,240000,1942,0,116,13,50,88,71,23,0,2303,2209,95.9,2022
Bellingham,250000,1844,0,88,18,162,125,56,53,53,2399,2237,93.3,2022
Belmont,260000,4293,0,35,44,0,8,18,538,2,4938,4380,88.7,2022
Berkley,270000,698,239,83,2,2,36,27,26,0,1113,1060,95.2,2022
Berlin,280000,0,332,37,3,9,16,11,23,0,431,397,92.10000000000001,2022
Bernardston (non-op),290000,0,79,25,0,12,12,3,11,2,144,128,88.9,2022
Beverly,300000,4243,0,140,21,5,76,105,500,1,5091,4485,88.10000000000001,2022
Billerica,310000,4620,0,483,48,58,29,86,11,0,5335,5238,98.2,2022
Blackstone (non-op),320000,0,89,98,0,38,0,26,9,0,260,225,86.5,2022
Blandford (non-op),330000,0,75,0,0,0,20,15,11,0,121,95,78.5,2022
Bolton (non-op),340000,0,993,25,0,11,27,21,39,1,1117,1056,94.5,2022
Boston,350000,46564,0,0,33,10541,3052,287,7655,8,68140,60190,88.3,2022
Bourne,360000,1507,0,170,4,125,149,59,24,1,2039,1955,95.9,2022
Boxborough,370000,0,800,9,2,9,16,9,21,0,866,836,96.5,2022
Boxford,380000,708,610,25,5,1,16,18,206,2,1591,1365,85.8,2022
Boylston,390000,0,574,29,3,5,14,17,50,0,692,625,90.3,2022
Braintree,400000,5174,0,145,32,14,50,32,503,0,5950,5415,91.0,2022
Brewster,410000,410,488,60,3,57,50,26,2,0,1096,1068,97.5,2022
Bridgewater (non-op),420000,0,3363,155,3,11,86,82,92,0,3792,3618,95.4,2022
Brimfield,430000,245,169,61,11,5,22,30,6,0,549,513,93.4,2022
Brockton,440000,14721,0,953,21,1479,272,207,539,0,18192,17446,95.9,2022
Brookfield,450000,217,143,73,2,8,12,27,2,0,484,455,94.0,2022
Brookline,460000,6222,0,0,3,0,11,54,1523,22,7835,6236,79.60000000000001,2022
Buckland (non-op),470000,0,153,19,0,7,23,12,7,0,221,202,91.4,2022
Burlington,480000,3286,0,136,26,6,29,33,244,3,3763,3483,92.60000000000001,2022
Cambridge,490000,6111,0,0,15,518,18,57,1307,0,8026,6662,83.0,2022
Canton,500000,3162,0,81,47,7,0,27,238,2,3564,3297,92.5,2022
Carlisle,510000,602,280,3,1,0,0,23,95,7,1011,886,87.60000000000001,2022
Carver,520000,1462,0,89,10,68,19,51,53,0,1752,1648,94.10000000000001,2022
Charlemont (non-op),530000,0,82,7,0,3,42,6,1,0,141,134,95.0,2022
Charlton (non-op),540000,0,1758,205,7,7,23,63,77,17,2157,2000,92.7,2022
Chatham,550000,0,351,13,1,14,25,8,14,0,426,404,94.8,2022
Chelmsford,560000,4817,0,196,32,105,45,59,165,14,5433,5195,95.60000000000001,2022
Chelsea,570000,5842,0,244,103,946,23,7,38,0,7203,7158,99.4,2022
Cheshire (non-op),580000,0,218,34,0,22,60,8,27,0,369,334,90.5,2022
Chester (non-op),590000,0,106,0,0,1,14,9,2,0,132,121,91.7,2022
Chesterfield (non-op),600000,0,70,0,0,1,6,10,1,0,88,77,87.5,2022
Chicopee,610000,6395,0,0,0,342,271,228,426,2,7664,7008,91.4,2022
Chilmark (non-op),620000,0,99,0,0,10,1,2,8,0,120,110,91.7,2022
Clarksburg,630000,130,0,49,0,3,42,12,1,0,237,224,94.5,2022
Clinton,640000,1729,0,0,13,86,174,21,66,2,2091,2002,95.7,2022
Cohasset,650000,1335,0,8,7,10,8,12,262,4,1646,1368,83.10000000000001,2022
Colrain (non-op),660000,0,127,26,0,3,15,13,10,0,194,171,88.10000000000001,2022
Concord,670000,1826,954,32,0,7,3,48,450,8,3328,2822,84.8,2022
Conway,680000,127,72,11,0,13,10,12,24,0,269,233,86.60000000000001,2022
Cummington (non-op),690000,0,14,5,0,2,35,19,8,0,83,56,67.5,2022
Dalton (non-op),700000,0,798,16,0,20,42,26,48,0,950,876,92.2,2022
