Location,Estimate Population,Year
Avon,"4,631",2021
Bellingham,"17,634",2021
Braintree,"37,643",2021
Canton,"24,570",2021
Cohasset,"8,738",2021
Dedham,"25,699",2021
Dover,"6,246",2021
Foxborough,"18,774",2021
Franklin,"35,425",2021
Holbrook,"11,163",2021
Medfield,"13,266",2021
Medway,"13,670",2021
Millis,"8,683",2021
Milton,"27,911",2021
Needham,"32,159",2021
Norfolk,"12,152",2021
Norwood,"30,200",2021
Sharon,"19,222",2021
Walpole,"27,160",2021
Wellesley,"29,088",2021
Westwood,"16,767",2021
Weymouth,"59,242",2021
Wrentham,"12,334",2021
Babson College,,2021
Dean College,,2021
Mass Bay Community College,,2021
Curry College,,2021
MBTA - Norfolk County,,2021
Wellesley College,,2021
Norfolk State Police,,2021
Norfolk State Police Framingham,,2021
Norfolk State Police Middleboro,,2021
Bridgewater,"8,446",2021
Carver,"12,347",2021
Duxbury,"16,780",2021
East Bridgewater,"15,324",2021
Halifax,"8,275",2021
Hanover,"15,396",2021
Hanson,"11,550",2021
Hingham,"26,172",2021
Hull,"11,000",2021
Kingston,"14,843",2021
Lakeville,"12,360",2021
Marion,"5,464",2021
Marshfield,"27,361",2021
Mattapoisett,"6,772",2021
Middleborough,"27,228",2021
Norwell,"11,770",2021
Pembroke,"19,505",2021
Plymouth,"66,289",2021
Plympton,"3,157",2021
Rochester,"6,067",2021
Rockland,"18,898",2021
Scituate,"20,046",2021
West Bridgewater,"7,696",2021
Whitman,"16,105",2021
Bridgewater State University,,2021
Massasoit Community College,,2021
MBTA - Plymouth County,,2021
Plymouth State Police,,2021
Plymouth State Police Middleboro,,2021
Boston College(Old ORI),,2021
"Capitol PD, Boston",,2021
Chelsea,"39,971",2021
Winthrop,"18,692",2021
Environmental Police,,2021
U-Mass Boston,,2021
MBTA,,2021
Boston University,,2021
Northeastern University,,2021
Mass College of Art,,2021
Tufts University Suffolk,,2021
Tufts University Suffolk prior to 01/01/2017,,2021
Bunker Hill Community College,,2021
Beth Israel Deaconess Med Ctr,,2021
Simmons University,,2021
Mass General Hospital,,2021
Fisher College,,2021
Fisher College,,2021
Wentworth Institute of Technology,,2021
Roxbury Community College,,2021
MCPHS University,,2021
Emerson College,,2021
Emerson College,,2021
Northeastern U,,2021
Wentworth Institute,,2021
Suffolk State Police,,2021
Suffolk State Police Weston,,2021
Suffolk State Police Framingham,,2021
Suffolk State Police Logan Airport,,2021
Ashburnham,"6,429",2021
Auburn,"16,885",2021
Barre,"5,637",2021
Berlin,"3,864",2021
Blackstone,"9,304",2021
Bolton,"5,579",2021
Boylston,"4,806",2021
Brookfield,"3,473",2021
Charlton,"13,881",2021
Douglas,"9,259",2021
Dudley,"11,778",2021
East Brookfield,"2,215",2021
Gardner,"20,795",2021
Grafton,"19,347",2021
Hardwick,"3,077",2021
Harvard,"6,681",2021
Holden,"19,605",2021
Hopedale,"5,985",2021
Hubbardston,"4,895",2021
Lancaster,"7,900",2021
Leicester,"11,401",2021
Leominster,"41,965",2021
Lunenburg,"12,098",2021
Mendon,"6,323",2021
Milford,"29,297",2021
Millbury,"14,160",2021
Millville,"3,267",2021
New Braintree,"1,030",2021
North Brookfield,"4,839",2021
Northborough,"15,223",2021
Northbridge,"16,850",2021
Oakham,"1,970",2021
Oxford,"14,078",2021
Paxton,"5,069",2021
Petersham,"1,247",2021
Phillipston,"1,758",2021
Princeton,"3,522",2021
Royalston,"1,290",2021
Rutland,"9,208",2021
Shrewsbury,"39,602",2021
Southborough,"10,328",2021
Southbridge,"16,932",2021
Spencer,"12,014",2021
Sterling,"8,270",2021
Sturbridge,"9,670",2021
Sutton,"9,716",2021
Templeton,"8,213",2021
Upton,"8,209",2021
Uxbridge,"14,561",2021
Warren,"5,252",2021
Webster,"16,963",2021
West Boylston,"8,137",2021
West Brookfield,"3,749",2021
Westborough,"19,299",2021
Westminster,"8,244",2021
Winchendon,"10,973",2021
U-Mass Worcester,,2021
Fitchburg SC,,2021
Tufts University Worcester,,2021
Tufts University Worcester,,2021
Worcester Polytechnic In,,2021
Col of the Holy Cross,,2021
Quinsigamond CC,,2021
Clark University,,2021
Assumption College,,2021
Assumption College,,2021
Mount Wachusett CC,,2021
Becker College,,2021
MBTA - Worcester County,,2021
Fitchburg State College,,2021
U-Mass Worcester MA014UM00,,2021
Clark University,,2021
Worcester State,,2021
Worcester State Police,,2021
Worcester State Police Weston,,2021
Worcester State Police Holden,,2021
Worcester State University,,2021
Missing,,2021
Suffolk University,,2021
MSCPA Police,,2021
Massachusetts,"6,981,974",2022
Suffolk County,"751,430",2022
Boston,"638,925",2022
Hampden County,"462,777",2022
Springfield,"155,046",2022
Worcester County,"866,791",2022
Essex County,"808,850",2022
Bristol County,"583,984",2022
Middlesex County,"1,607,974",2022
Worcester,"206,575",2022
Plymouth County,"537,636",2022
Lynn,"101,056",2022
Fall River,"94,339",2022
Norfolk County,"726,503",2022
Brockton,"110,084",2022
Holyoke,"37,945",2022
Lowell,"113,277",2022
Abington,"17,886",2022
New Bedford,"101,402",2022
North Attleborough,"31,071",2022
Lawrence,"88,422",2022
Westfield,"40,691",2022
Everett,"48,340",2022
Barnstable County,"237,052",2022
Barnstable,"50,501",2022
Berkshire County,"129,181",2022
Pittsfield,"43,496",2022
Taunton,"60,062",2022
Chicopee,"55,265",2022
Revere,"56,961",2022
MBTA - Suffolk County,,2022
Groveland,"6,763",2022
Haverhill,"67,359",2022
Methuen,"52,853",2022
MBTA - Essex County,,2022
East Longmeadow,"16,458",2022
Hampshire County,"161,864",2022
Northampton,"29,150",2022
Cambridge,"117,044",2022
Framingham,"70,716",2022
Groton,"11,074",2022
Lexington,"33,889",2022
Malden,"64,356",2022
Tewksbury,"30,656",2022
Brookline,"62,825",2022
Plainville,"9,921",2022
Quincy,"101,434",2022
Randolph,"32,477",2022
Stoughton,"29,204",2022
Wareham,"24,389",2022
Athol,"11,938",2022
Clinton,"15,432",2022
Fitchburg,"41,791",2022
Bourne,"21,127",2022
Brewster,"10,647",2022
Chatham,"6,844",2022
Dennis,"15,200",2022
Eastham,"5,939",2022
Falmouth,"33,873",2022
Harwich,"13,891",2022
Mashpee,"15,730",2022
Orleans,"6,546",2022
Provincetown,"3,775",2022
Sandwich,"21,013",2022
Truro,"2,536",2022
Wellfleet,"3,725",2022
Yarmouth,"25,705",2022
Cape Cod Community College,,2022
MBTA - Barnstable County,,2022
Barnstable State Police,,2022
Barnstable State Police Middleboro,,2022
Adams,"8,073",2022
Alford,,2022
Becket,"1,934",2022
Cheshire,"3,226",2022
Clarksburg,,2022
Dalton,"6,273",2022
Egremont,"1,374",2022
Florida,,2022
Great Barrington,"7,143",2022
Hancock,,2022
Hinsdale,"1,905",2022
Lanesboro,"3,021",2022
Lee,"5,740",2022
Lenox,"5,105",2022
Monterey,"1,091",2022
Mount Washington,,2022
New Ashford,,2022
New Marlboro,"1,513",2022
North Adams,"12,836",2022
Otis,"1,628",2022
Peru,,2022
Richmond,"1,404",2022
Sandisfield,,2022
Savoy,647,2022
Sheffield,"3,308",2022
Stockbridge,"1,997",2022
Tyringham,,2022
Washington,,2022
West Stockbridge,,2022
Williamstown,"8,020",2022
Windsor,,2022
MA College of Liberal Arts,,2022
MBTA - Berkshire County,,2022
Berkshire State Police,"9,447",2022
Berkshire State Police Weston,,2022
Berkshire State Police Northampton,,2022
Acushnet,"10,612",2022
Attleboro,"46,942",2022
Berkley,"6,844",2022
Dartmouth,"34,192",2022
Dighton,"8,240",2022
Easton,"25,463",2022
Fairhaven,"15,987",2022
Freetown,"9,247",2022
Mansfield,"23,932",2022
Norton,"19,374",2022
Raynham,"15,404",2022
Rehoboth,"12,936",2022
Seekonk,"15,692",2022
Somerset,"18,317",2022
Swansea,"17,453",2022
Westport,"16,475",2022
U-Mass Dartmouth,,2022
Stonehill College,,2022
Bristol Comm College,,2022
Wheaton College,,2022
Uncategorized,,2022
MBTA - Bristol County,,2022
Bristol State Police,,2022
Bristol State Police Framingham,,2022
Bristol State Police Middleboro,,2022
Dukes County,"21,731",2022
Chilmark,"1,292",2022
Edgartown,"5,485",2022
Aquinnah,465,2022
Gosnold,,2022
Oak Bluffs,"5,653",2022
Tisbury,"5,079",2022
West Tisbury,"3,757",2022
MBTA - Dukes County,,2022
Dukes State Police,,2022
Dukes State Police Middleboro,,2022
Amesbury,"17,276",2022
North Shore CC,,2022
Andover,"36,631",2022
Beverly,"42,441",2022
Boxford,"8,134",2022
Danvers,"27,887",2022
Essex,"3,678",2022
Georgetown,"8,409",2022
Gloucester,"30,301",2022
Hamilton,"7,551",2022
Ipswich,"13,735",2022
Lynnfield,"12,992",2022
Manchester-by-the-sea,"5,365",2022
Marblehead,"20,289",2022
Merrimac,"6,726",2022
Middleton,"9,790",2022
Nahant,"3,315",2022
Newbury,"6,717",2022
Newburyport,"18,366",2022
North Andover,"30,695",2022
Peabody,"54,091",2022
Rockport,"6,961",2022
Rowley,"6,132",2022
Salem,"45,345",2022
Salisbury,"9,238",2022
Saugus,"28,880",2022
Swampscott,"15,268",2022
Topsfield,"6,581",2022
Wenham,"4,998",2022
West Newbury,"4,605",2022
Salem State University,,2022
Merrimack College,,2022
North Shore CC,,2022
Endicott College,,2022
Northern Essex Community College,,2022
Gordon College,,2022
Salem State College,,2022
North Shore Community College,,2022
Essex State Police,,2022
Essex State Police Framingham,,2022
Franklin County,"71,387",2022
Ashfield,"1,690",2022
Bernardston,"2,846",2022
Buckland,"1,815",2022
Charlemont,"1,182",2022
Colrain,,2022
Conway,,2022
Deerfield,"5,154",2022
Erving,"1,669",2022
Gill,"1,535",2022
Greenfield,"17,203",2022
Hawley,,2022
Heath,,2022
Leverett,"1,861",2022
Leyden,,2022
Monroe,,2022
Montague,"8,581",2022
New Salem,"1,008",2022
Northfield,"2,877",2022
Orange,"7,569",2022
Rowe,421,2022
Shelburne,"1,891",2022
Shutesbury,"1,734",2022
Sunderland,"3,655",2022
Warwick,780,2022
Wendell,,2022
Whately,"1,639",2022
Greenfield CC,,2022
MBTA - Franklin County,,2022
Franklin State Police,"6,277",2022
Franklin State Police Holden,,2022
Franklin State Police Northampton,,2022
Agawam,"28,536",2022
Blandford,"1,215",2022
Western New England Coll,,2022
Brimfield,"3,711",2022
Chester,"1,221",2022
Granville,"1,538",2022
Hampden,"4,948",2022
Holland,"2,585",2022
Longmeadow,"15,734",2022
Ludlow,"20,971",2022
Monson,"8,115",2022
Montgomery,,2022
Palmer,"12,393",2022
Russell,"1,641",2022
Southwick,"9,229",2022
Tolland,465,2022
Wales,"1,815",2022
West Springfield,"28,655",2022
Wilbraham,"14,600",2022
Westfield State College,,2022
Holyoke Community College,,2022
Springfield Technical Community College,,2022
Western New England University,,2022
MBTA - Hampden County,,2022
Springfield College,,2022
Hampden State Police,,2022
Hampden State Police Weston,,2022
Hampden State Police Northampton,,2022
Amherst,"39,267",2022
Belchertown,"15,277",2022
Chesterfield,"1,174",2022
Cummington,814,2022
Mt. Holyoke College,,2022
Easthampton,"15,914",2022
Goshen,945,2022
Granby,"6,036",2022
Hadley,"5,244",2022
Hatfield,"3,301",2022
Huntington,,2022
Middlefield,,2022
Pelham,"1,257",2022
Plainfield,,2022
South Hadley,"17,900",2022
Southampton,"6,177",2022
Ware,"10,295",2022
Westhampton,"1,616",2022
Williamsburg,"2,460",2022
Worthington,"1,176",2022
U-Mass Amherst,,2022
Mt. Holyoke College,,2022
Hampshire College,,2022
Hampshire College,,2022
Smith College,,2022
Smith College,,2022
Amherst College,,2022
MBTA - Hampshire County,,2022
Hampshire State Police,"3,861",2022
Hampshire State Police Northampton,,2022
Acton,"23,833",2022
Regis College,,2022
Arlington,"45,238",2022
Ashby,"3,166",2022
Ashland,"18,373",2022
Ayer,"8,368",2022
Bedford,"14,034",2022
Belmont,"26,557",2022
Billerica,"41,110",2022
Boxborough,"5,377",2022
Burlington,"25,783",2022
Carlisle,"5,149",2022
Chelmsford,"35,630",2022
Concord,"18,040",2022
Dracut,"31,908",2022
Dunstable,"3,333",2022
Holliston,"14,754",2022
Hopkinton,"19,180",2022
Hudson,"19,623",2022
Lincoln,"6,823",2022
Littleton,"10,154",2022
Marlborough,"40,722",2022
Maynard,"10,464",2022
Medford,"64,122",2022
Melrose,"29,013",2022
Natick,"36,090",2022
Newton,"86,710",2022
North Reading,"15,197",2022
Pepperell,"11,600",2022
Reading,"25,018",2022
Sherborn,"4,384",2022
Shirley,"7,228",2022
Somerville,"79,178",2022
Stoneham,"22,660",2022
Stow,"6,989",2022
Sudbury,"19,314",2022
Townsend,"8,892",2022
Tyngsborough,"12,490",2022
Wakefield,"27,263",2022
Waltham,"63,525",2022
Watertown,"35,088",2022
Wayland,"13,601",2022
Westford,"24,270",2022
Weston,"11,589",2022
Wilmington,"22,825",2022
Winchester,"22,496",2022
Woburn,"41,461",2022
Brandeis University,,2022
Brandeis University,,2022
Bentley College,,2022
Framingham State University,,2022
U-Mass Lowell,,2022
Boston and Maine Railroad Police Dept,,2022
Harvard University,,2022
Tufts University Medford,,2022
Tufts University since 01/01/2015,,2022
Boston College,,2022
Lasell College,,2022
Regis College,,2022
Regis College,,2022
Mount IDA College,,2022
MBTA - Middlesex County,,2022
Boston College(Old ORI pre-2011),,2022
MIT,,2022
Framingham SC,,2022
Tufts University prior 01/01/2015,,2022
Middlesex State Police,,2022
Middlesex State Police Weston,,2022
Middlesex State Police Framingham,,2022
Middlesex State Police Holden,,2022
Nantucket County,"14,814",2022
Nantucket,"14,814",2022
MBTA - Nantucket County,,2022
Nantucket State Police,,2022
Mt. Ida College,,2022
Avon,"4,764",2022
Bellingham,"16,965",2022
Braintree,"38,835",2022
Canton,"24,717",2022
Cohasset,"8,417",2022
Dedham,"25,324",2022
Dover,"5,902",2022
Foxborough,"18,549",2022
Franklin,"33,107",2022
Holbrook,"11,350",2022
Medfield,"13,107",2022
Medway,"13,261",2022
Millis,"8,890",2022
Milton,"28,454",2022
Needham,"32,228",2022
Norfolk,"11,621",2022
Norwood,"31,533",2022
Sharon,"18,553",2022
Walpole,"26,829",2022
Wellesley,"31,354",2022
Westwood,"16,308",2022
Weymouth,"58,231",2022
Wrentham,"12,343",2022
Babson College,,2022
Dean College,,2022
Mass Bay Community College,,2022
Curry College,,2022
MBTA - Norfolk County,,2022
Wellesley College,,2022
Norfolk State Police,,2022
Norfolk State Police Framingham,,2022
Norfolk State Police Middleboro,,2022
Bridgewater,"8,820",2022
Carver,"12,215",2022
Duxbury,"16,861",2022
East Bridgewater,"15,142",2022
Halifax,"8,092",2022
Hanover,"15,578",2022
Hanson,"11,196",2022
Hingham,"25,437",2022
Hull,"10,676",2022
Kingston,"14,484",2022
Lakeville,"12,511",2022
Marion,"5,567",2022
Marshfield,"27,064",2022
Mattapoisett,"6,932",2022
Middleborough,"25,744",2022
Norwell,"11,866",2022
Pembroke,"19,289",2022
Plymouth,"65,779",2022
Plympton,"3,075",2022
Rochester,"6,056",2022
Rockland,"18,549",2022
Scituate,"20,147",2022
West Bridgewater,"8,087",2022
Whitman,"16,110",2022
Bridgewater State University,,2022
Massasoit Community College,,2022
MBTA - Plymouth County,,2022
Plymouth State Police,,2022
Plymouth State Police Middleboro,,2022
Boston College(Old ORI),,2022
"Capitol PD, Boston",,2022
Chelsea,"37,590",2022
Winthrop,"17,954",2022
Environmental Police,,2022
U-Mass Boston,,2022
MBTA,,2022
Boston University,,2022
Northeastern University,,2022
Mass College of Art,,2022
Tufts University Suffolk,,2022
Tufts University Suffolk prior to 01/01/2017,,2022
Bunker Hill Community College,,2022
Beth Israel Deaconess Med Ctr,,2022
Simmons University,,2022
Mass General Hospital,,2022
Fisher College,,2022
Fisher College,,2022
Wentworth Institute of Technology,,2022
Roxbury Community College,,2022
MCPHS University,,2022
Emerson College,,2022
Emerson College,,2022
Northeastern U,,2022
Wentworth Institute,,2022
Suffolk State Police,,2022
Suffolk State Police Weston,,2022
Suffolk State Police Framingham,,2022
Suffolk State Police Logan Airport,,2022
Ashburnham,"6,402",2022
Auburn,"16,878",2022
Barre,"5,555",2022
Berlin,"4,137",2022
Blackstone,"9,222",2022
Bolton,"5,710",2022
Boylston,"4,934",2022
Brookfield,"3,443",2022
Charlton,"13,394",2022
Douglas,"9,146",2022
Dudley,"11,914",2022
East Brookfield,"2,208",2022
Gardner,"21,231",2022
Grafton,"19,965",2022
Hardwick,"2,672",2022
Harvard,"6,870",2022
Holden,"19,998",2022
Hopedale,"6,021",2022
Hubbardston,"4,329",2022
Lancaster,"8,504",2022
Leicester,"11,084",2022
Leominster,"43,690",2022
Lunenburg,"11,903",2022
Mendon,"6,307",2022
Milford,"30,360",2022
Millbury,"14,008",2022
Millville,"3,152",2022
New Braintree,993,2022
North Brookfield,"4,764",2022
Northborough,"15,699",2022
Northbridge,"16,357",2022
Oakham,"1,852",2022
Oxford,"13,316",2022
Paxton,"5,073",2022
Petersham,"1,189",2022
Phillipston,"1,725",2022
Princeton,"3,521",2022
Royalston,"1,266",2022
Rutland,"9,316",2022
Shrewsbury,"39,745",2022
Southborough,"10,448",2022
Southbridge,"17,687",2022
Spencer,"11,953",2022
Sterling,"8,372",2022
Sturbridge,"9,892",2022
Sutton,"9,418",2022
Templeton,"8,220",2022
Upton,"8,137",2022
Uxbridge,"14,418",2022
Warren,"4,969",2022
Webster,"17,651",2022
West Boylston,"7,872",2022
West Brookfield,"3,830",2022
Westborough,"21,562",2022
Westminster,"8,363",2022
Winchendon,"10,410",2022
U-Mass Worcester,,2022
Fitchburg SC,,2022
Tufts University Worcester,,2022
Tufts University Worcester,,2022
Worcester Polytechnic In,,2022
Col of the Holy Cross,,2022
Quinsigamond CC,,2022
Clark University,,2022
Assumption College,,2022
Assumption College,,2022
Mount Wachusett CC,,2022
Becker College,,2022
MBTA - Worcester County,,2022
Fitchburg State College,,2022
U-Mass Worcester MA014UM00,,2022
Clark University,,2022
Worcester State,,2022
Worcester State Police,,2022
Worcester State Police Weston,,2022
Worcester State Police Holden,,2022
Worcester State University,,2022
Missing,,2022
Suffolk University,,2022
MSCPA Police,,2022
